"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
469;Savaş Polat\Savas-Polat;tr TUR;DF;Konyaspor;22;1997;0;;;;;0;;0;;3;;;;;;;Matches
470;Pierre-Yves Polomat\Pierre-Yves-Polomat;fr FRA;DFMF;Gençlerbirliği;25;1993;15;1274;85;59.0;14.2;15;85;0;;3;0.87;16;25;-9;-0.64;-0.53;Matches
471;Carlos Ponck\Carlos-Ponck;cv CPV;DF;Başakşehir;24;1995;15;1171;78;54.2;13.0;13;90;2;2;8;2.20;24;14;+10;+0.77;-0.32;Matches
472;Strahil Popov\Strahil-Popov;bg BUL;DF;Kasımpaşa;28;1990;14;1198;86;55.5;13.3;14;86;0;;1;0.86;20;25;-5;-0.38;+0.84;Matches
473;Alper Potuk\Alper-Potuk;tr TUR;FW;Fenerbahçe;28;1991;5;102;20;4.7;1.1;1;71;4;8;12;2.00;2;0;+2;+1.76;+1.28;Matches
474;Benoît Poulain\Benoit-Poulain;fr FRA;DF;Kayserispor;32;1987;14;1197;86;55.4;13.3;14;86;0;;1;0.71;11;30;-19;-1.43;-0.31;Matches
475;Ricardo Quaresma\Ricardo-Quaresma;pt POR;MF;Beşiktaş;35;1983;1;62;62;2.8;0.7;1;62;0;;1;0.00;0;2;-2;-2.90;-3.31;Matches
476;Ricardo Quaresma\Ricardo-Quaresma;pt POR;MF;Kasımpaşa;35;1983;17;1217;72;56.3;13.5;15;76;2;36;1;0.76;17;26;-9;-0.67;+0.19;Matches
477;Adil Rami\Adil-Rami;fr FRA;DF;Fenerbahçe;33;1985;1;45;45;2.1;0.5;1;45;0;;14;3.00;1;1;0;0.00;-0.55;Matches
478;Flávio Ramos\Flavio-Ramos;br BRA;DF;Gençlerbirliği;25;1994;17;1453;85;67.3;16.1;17;85;0;;6;1.18;21;25;-4;-0.25;+0.52;Matches
479;Abdou Razack Traoré\Abdou-Razack-Traore;bf BFA;MF;Sivasspor;30;1988;9;300;33;13.9;3.3;3;60;6;20;7;2.11;8;2;+6;+1.80;+1.17;Matches
480;Pedro Rebocho\Pedro-Rebocho;pt POR;DF;Beşiktaş;24;1995;9;626;70;27.8;7.0;8;78;1;4;12;1.78;9;8;+1;+0.14;-0.24;Matches
481;Wallace Reis\Wallace-Reis;br BRA;DF;Göztepe;31;1987;8;511;64;24.7;5.7;5;85;3;29;10;1.38;5;9;-4;-0.70;-1.17;Matches
482;Ricardo\Ricardo;br BRA;GK;Ankaragücü;26;1993;5;450;90;20.0;5.0;5;90;0;;1;1.20;4;7;-3;-0.60;+0.40;Matches
483;Ben Rienstra\Ben-Rienstra;nl NED;MFDF;Kayserispor;29;1990;18;1274;71;59.0;14.2;13;89;5;23;4;0.78;12;39;-27;-1.91;-1.50;Matches
484;Gelmin Rivas\Gelmin-Rivas;ve VEN;FW;Ankaragücü;30;1989;2;25;13;1.1;0.3;0;;2;13;3;1.50;0;1;-1;-3.60;-2.71;Matches
485;Robinho\Robinho;br BRA;MF;Başakşehir;35;1984;8;274;34;12.7;3.0;2;68;6;23;8;1.63;6;4;+2;+0.66;-0.30;Matches
486;Enzo Roco\Enzo-Roco;cl CHI;DF;Beşiktaş;26;1992;6;522;87;23.2;5.8;6;87;0;;14;1.50;10;10;0;0.00;-0.42;Matches
487;Hugo Rodallega\Hugo-Rodallega;co COL;FW;Denizlispor;34;1985;21;1822;87;84.4;20.2;20;90;1;22;0;1.14;19;28;-9;-0.44;-0.44;Matches
488;Garry Rodrigues\Garry-Rodrigues;cv CPV;MF;Fenerbahçe;28;1990;18;1245;69;57.6;13.8;15;78;3;25;0;1.89;29;19;+10;+0.72;+0.43;Matches
489;Gerson Rodrigues\Gerson-Rodrigues;lu LUX;MFFW;Ankaragücü;24;1995;6;532;89;23.6;5.9;6;89;0;;0;1.17;5;7;-2;-0.34;+0.76;Matches
490;Víctor Ruiz\Victor-Ruiz;es ESP;DF;Beşiktaş;30;1989;16;1440;90;64.0;16.0;16;90;0;;1;2.00;28;17;+11;+0.69;+1.02;Matches
491;Serhiy Rybalka\Serhiy-Rybalka;ua UKR;MF;Sivasspor;29;1990;3;69;23;3.2;0.8;0;;3;23;0;1.33;1;0;+1;+1.30;+0.53;Matches
492;Isaac Sackey\Isaac-Sackey;gh GHA;MF;Denizlispor;25;1994;15;1009;67;46.7;11.2;13;75;2;15;3;0.87;7;19;-12;-1.07;-1.30;Matches
493;Hadi Sacko\Hadi-Sacko;ml MLI;MF;Denizlispor;25;1994;20;1076;54;49.8;12.0;13;74;7;16;1;1.00;10;16;-6;-0.50;-0.25;Matches
494;Zaur Sadayev\Zaur-Sadayev;ru RUS;FW;Ankaragücü;29;1989;5;59;12;2.6;0.7;0;;5;12;9;1.20;1;1;0;0.00;+0.94;Matches
495;Loret Sadiku\Loret-Sadiku;al ALB;MFDF;Kasımpaşa;28;1991;8;624;78;28.9;6.9;7;86;1;24;1;1.00;12;13;-1;-0.14;+0.85;Matches
496;Murat Saglam\Murat-Saglam;tr TUR;MF;Fenerbahçe;21;1998;0;;;;;0;;0;;12;;;;;;;Matches
497;Emre Sağlık\Emre-Saglik;tr TUR;DF;Denizlispor;21;1997;0;;;;;0;;0;;8;;;;;;;Matches
498;Furkan Sagman\Furkan-Sagman;de GER;MF;Sivasspor;19;2000;0;;;;;0;;0;;7;;;;;;;Matches
499;Olcay Şahan\Olcay-Sahan;tr TUR;MFDF;Denizlispor;32;1987;19;1114;59;51.6;12.4;12;77;7;26;4;1.05;17;17;0;0.00;+0.77;Matches
500;Cenk Şahin\Cenk-Sahin;tr TUR;MF;Kayserispor;24;1994;5;150;30;6.9;1.7;1;79;4;18;2;0.60;1;5;-4;-2.40;-1.19;Matches
501;Abdullah Sahindere\Abdullah-Sahindere;tr TUR;MF;Gençlerbirliği;16;2003;0;;;;;0;;0;;1;;;;;;;Matches
502;Sedat Şahintürk\Sedat-Sahinturk;tr TUR;MF;Denizlispor;23;1996;6;172;29;8.0;1.9;1;67;5;21;17;0.17;0;3;-3;-1.57;-1.30;Matches
503;Mehmet Sak\Mehmet-Sak;tr TUR;DFMF;Ankaragücü;29;1990;9;421;47;18.7;4.7;5;70;4;18;8;0.67;0;8;-8;-1.71;-0.97;Matches
504;Mamadou Samassa\Mamadou-Samassa;ml MLI;GK;Sivasspor;29;1990;24;2115;88;97.9;23.5;24;88;0;;0;2.00;43;26;+17;+0.72;-3.28;Matches
505;Braian Samudio\Braian-Samudio;py PAR;MFFW;Rizespor;23;1995;21;1235;59;59.7;13.7;14;82;7;13;1;1.14;16;25;-9;-0.66;-0.01;Matches
506;Nazim Sangaré\Nazim-Sangare;tr TUR;DF;Antalyaspor;25;1994;17;1530;90;70.8;17.0;17;90;0;;0;0.82;15;33;-18;-1.06;-1.49;Matches
507;Bubacarr Sanneh\Bubacarr-Sanneh;gm GAM;DF;Göztepe;24;1994;2;180;90;8.7;2.0;2;90;0;;5;0.00;0;4;-4;-2.00;-2.38;Matches
508;Cristian Săpunaru\Cristian-Sapunaru;ro ROU;DF;Kayserispor;35;1984;4;360;90;16.7;4.0;4;90;0;;1;2.00;6;4;+2;+0.50;+2.15;Matches
509;Cristian Săpunaru\Cristian-Sapunaru;ro ROU;DF;Denizlispor;35;1984;14;1155;83;53.5;12.8;13;87;1;27;0;1.29;12;18;-6;-0.47;-0.20;Matches
510;Marcelo Saracchi\Marcelo-Saracchi;uy URU;DF;Galatasaray;21;1998;5;346;69;16.0;3.8;5;69;0;;0;3.00;10;2;+8;+2.08;+1.29;Matches
511;Veysel Sarı\Veysel-Sari;tr TUR;DF;Kasımpaşa;31;1988;13;973;75;45.0;10.8;11;86;2;14;0;0.92;15;23;-8;-0.74;+0.02;Matches
512;Veysel Sarı\Veysel-Sari;tr TUR;DF;Antalyaspor;31;1988;5;450;90;20.8;5.0;5;90;0;;1;1.80;9;5;+4;+0.80;+1.80;Matches
513;Yusuf Sari\Yusuf-Sari;tr TUR;MFFW;Trabzonspor;20;1998;13;693;53;33.5;7.7;8;73;5;22;2;1.92;16;7;+9;+1.17;-0.14;Matches
514;Zvonimir Šarlija\Zvonimir-Sarlija;hr CRO;DF;Kasımpaşa;22;1996;2;130;65;6.0;1.4;1;90;1;40;1;0.00;1;5;-4;-2.77;-2.15;Matches
515;Ali Şaşal Vural\Ali-Sasal-Vural;tr TUR;GK;Sivasspor;29;1990;0;;;;;0;;0;;23;;;;;;;Matches
516;Yan Sasse\Yan-Sasse;br BRA;MFFW;Rizespor;22;1997;10;386;39;18.6;4.3;3;73;7;24;4;0.60;4;13;-9;-2.10;-1.78;Matches
517;Allahyar Sayyadmanesh\Allahyar-Sayyadmanesh;ir IRN;FW;Fenerbahçe;18;2001;0;;;;;0;;0;;4;;;;;;;Matches
