id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
97;Pablo Chavarría\Pablo-Chavarria;ar ARG;FWMF;Mallorca;31;1988;1.1;1;0;0;7;0;5;1;1;0;0;0;0;0;0;;0;0;2;3;66.7;1;Matches
98;Pape Cheikh Diop\Pape-Cheikh-Diop;es ESP;MF;Celta Vigo;21;1997;6.0;4;1;1;22;14;0;0;4;2;0;0;0;6;7;85.7;6;0;9;19;47.4;10;Matches
99;Chema\Chema;es ESP;DF;Getafe;27;1992;1.0;1;0;0;2;0;1;1;1;2;0;0;0;0;0;;0;0;1;1;100.0;0;Matches
100;Denis Cheryshev\Denis-Cheryshev;ru RUS;MFFW;Valencia;28;1990;7.8;5;0;0;17;11;1;31;4;6;1;1;0;9;19;47.4;9;1;9;22;40.9;13;Matches
101;Samuel Chukwueze\Samuel-Chukwueze;ng NGA;MFFW;Villarreal;20;1999;15.3;1;0;0;9;30;10;27;12;4;2;0;0;39;64;60.9;42;2;14;21;66.7;7;Matches
102;Jasper Cillessen\Jasper-Cillessen;nl NED;GK;Valencia;30;1989;15.3;1;0;0;0;2;0;0;0;2;0;0;0;0;0;;0;0;0;1;0.0;1;Matches
103;Óscar Clemente\Oscar-Clemente;es ESP;MF;Atlético Madrid;20;1999;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
104;Carlos Clerc\Carlos-Clerc;es ESP;DF;Levante;27;1992;13.0;4;0;0;16;13;1;39;9;16;0;0;0;20;30;66.7;21;1;22;28;78.6;6;Matches
105;Coke\Coke;es ESP;DF;Levante;32;1987;6.1;2;0;0;9;9;0;8;8;6;0;0;0;8;10;80.0;8;0;15;25;60.0;10;Matches
106;Álex Collado\Alex-Collado;es ESP;DF;Barcelona;20;1999;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
107;Francis Coquelin\Francis-Coquelin;fr FRA;MF;Valencia;28;1991;16.5;7;1;1;23;24;1;1;18;35;1;1;0;14;21;66.7;14;0;27;41;65.9;14;Matches
108;Sébastien Corchia\Sebastien-Corchia;fr FRA;DF;Espanyol;28;1990;3.0;1;0;0;4;5;0;25;0;5;0;0;0;6;10;60.0;6;0;2;4;50.0;2;Matches
