"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
502;Unai Vencedor Paris\Unai-Vencedor-Paris;es ESP;MF;Athletic Bilbao;18;2000;0.8;0;0;0;1;0;1;0.0;1.22;0.00;0.00;;0.1;0.1;0.06;-0.1;-0.1;Matches
503;Mikel Vesga\Mikel-Vesga;es ESP;MF;Athletic Bilbao;26;1993;7.2;0;0;0;4;1;0;25.0;0.56;0.14;0.00;0.00;0.1;0.1;0.02;-0.1;-0.1;Matches
504;Rúben Vezo\Ruben-Vezo;pt POR;DF;Levante;25;1994;18.0;0;0;0;7;2;0;28.6;0.39;0.11;0.00;0.00;0.7;0.7;0.10;-0.7;-0.7;Matches
505;Fede Vico\Fede-Vico;es ESP;MFFW;Granada;25;1994;4.0;1;1;1;6;0;1;0.0;1.48;0.00;0.00;;1.2;0.4;0.07;-0.2;-0.4;Matches
506;Aleix Vidal\Aleix-Vidal;es ESP;MF;Alavés;29;1989;22.2;2;0;0;20;8;3;40.0;0.90;0.36;0.10;0.25;2.4;2.4;0.12;-0.4;-0.4;Matches
507;Arturo Vidal\Arturo-Vidal;cl CHI;MFFW;Barcelona;32;1987;10.1;6;0;0;13;8;0;61.5;1.29;0.79;0.46;0.75;2.7;2.7;0.21;+3.3;+3.3;Matches
508;Nacho Vidal\Nacho-Vidal;es ESP;DF;Osasuna;24;1995;17.3;0;0;0;9;2;0;22.2;0.52;0.12;0.00;0.00;0.6;0.6;0.06;-0.6;-0.6;Matches
509;Dídac Vilà\Didac-Vila;es ESP;DF;Espanyol;30;1989;18.4;0;0;0;9;2;0;22.2;0.49;0.11;0.00;0.00;0.6;0.6;0.06;-0.6;-0.6;Matches
510;Toni Villa\Toni-Villa;es ESP;MF;Valladolid;24;1995;12.0;0;0;0;14;5;0;35.7;1.17;0.42;0.00;0.00;0.7;0.7;0.05;-0.7;-0.7;Matches
511;Asier Villalibre\Asier-Villalibre;es ESP;FW;Athletic Bilbao;21;1997;3.8;1;0;0;9;2;0;22.2;2.38;0.53;0.11;0.50;0.9;0.9;0.10;+0.1;+0.1;Matches
