"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
266;Sergio León\Sergio-Leon;es ESP;FW;Levante;30;1989;5.1;0;0.0;0.0;1;45;71;63.4;3;9;33.3;35;50;70.0;7;12;58.3;9;48;0;0;0;0;3;2;0;Matches
267;Lillo\Lillo;es ESP;DF;Osasuna;30;1989;2.1;0;0.1;-0.1;1;100;124;80.6;0;2;0.0;75;84;89.3;25;38;65.8;9;86;6;0;0;23;10;3;1;Matches
268;Diego Llorente\Diego-Llorente;es ESP;DF;Real Sociedad;25;1993;17.1;1;0.1;+0.9;2;933;1054;88.5;6;16;37.5;595;632;94.1;332;406;81.8;199;783;22;0;1;2;52;2;0;Matches
269;Marcos Llorente\Marcos-Llorente;es ESP;MF;Atlético Madrid;24;1995;7.0;0;0.0;0.0;1;215;262;82.1;10;17;58.8;170;199;85.4;35;46;76.1;20;220;2;0;0;0;10;2;0;Matches
270;Stanislav Lobotka\Stanislav-Lobotka;sk SVK;MF;Celta Vigo;24;1994;15.5;0;0.4;-0.4;10;683;777;87.9;16;27;59.3;527;584;90.2;140;166;84.3;79;658;13;0;2;0;52;5;0;Matches
271;Renan Lodi\Renan-Lodi;br BRA;DF;Atlético Madrid;21;1998;18.6;2;1.5;+0.5;16;662;894;74.0;19;52;36.5;534;635;84.1;109;207;52.7;602;62;8;2;0;201;26;27;11;Matches
272;Rony Lopes\Rony-Lopes;pt POR;FWMF;Sevilla;23;1995;1.0;0;0.0;0.0;0;24;33;72.7;4;6;66.7;16;20;80.0;4;7;57.1;21;8;0;0;3;1;3;0;0;Matches
273;Adrián López\Adrian-Lopez;es ESP;FWMF;Osasuna;31;1988;9.8;0;1.7;-1.7;16;225;318;70.8;13;32;40.6;190;251;75.7;22;35;62.9;20;248;1;2;0;0;23;5;2;Matches
274;David López\David-Lopez;es ESP;DFMF;Espanyol;29;1989;15.6;2;0.8;+1.2;12;663;840;78.9;6;17;35.3;472;534;88.4;185;289;64.0;88;657;27;2;0;1;55;7;1;Matches
275;Diego López\Diego-Lopez;es ESP;GK;Espanyol;37;1981;26.0;0;0.0;0.0;2;471;829;56.8;0;0;;212;213;99.5;259;616;42.0;75;561;99;0;0;1;19;0;0;Matches
276;Javi López\Javi-Lopez;es ESP;DF;Espanyol;33;1986;11.6;0;0.7;-0.7;5;378;507;74.6;5;18;27.8;295;353;83.6;78;136;57.4;66;294;7;1;1;104;26;10;3;Matches
277;Lluis López\Lluis-Lopez;es ESP;DF;Espanyol;22;1997;3.3;0;0.0;0.0;0;219;245;89.4;0;4;0.0;144;158;91.1;75;83;90.4;40;186;7;0;0;4;10;0;0;Matches
278;Unai López\Unai-Lopez;es ESP;MF;Athletic Bilbao;23;1995;12.2;3;2.1;+0.9;24;626;756;82.8;14;23;60.9;429;464;92.5;183;269;68.0;32;682;43;3;34;3;44;7;1;Matches
279;Iker Losada\Iker-Losada;es ESP;MFFW;Celta Vigo;17;2001;0.1;0;0.0;0.0;0;7;9;77.8;0;0;;5;6;83.3;2;3;66.7;1;7;0;0;0;0;0;0;0;Matches
280;Pol Lozano\Pol-Lozano;es ESP;MF;Espanyol;19;1999;0.2;0;0.0;0.0;0;7;8;87.5;0;0;;6;6;100.0;1;2;50.0;1;7;0;0;1;0;1;0;0;Matches
281;José Luis Gayà\Jose-Luis-Gaya;es ESP;DF;Valencia;24;1995;18.6;0;1.0;-1.0;9;668;861;77.6;9;32;28.1;523;603;86.7;136;226;60.2;581;96;26;0;0;150;27;21;9;Matches
282;José Luis Morales\Jose-Luis-Morales;es ESP;FWMF;Levante;32;1987;20.8;1;3.2;-2.2;24;354;516;68.6;10;47;21.3;291;375;77.6;53;94;56.4;91;385;0;6;2;14;27;20;3;Matches
283;Darwin Machís\Darwin-Machis;ve VEN;FWMF;Granada;26;1993;15.3;3;2.3;+0.7;23;250;391;63.9;6;21;28.6;197;258;76.4;47;112;42.0;74;281;12;0;24;5;25;13;5;Matches
284;Lisandro Magallán\Lisandro-Magallan;ar ARG;DF;Alavés;25;1993;8.3;0;0.0;0.0;0;203;264;76.9;1;3;33.3;127;143;88.8;75;118;63.6;42;175;13;0;0;3;15;1;0;Matches
285;Nemanja Maksimović\Nemanja-Maksimovic;rs SRB;MF;Getafe;24;1995;22.5;0;0.4;-0.4;6;348;477;73.0;32;45;71.1;251;337;74.5;65;95;68.4;45;312;17;1;0;1;23;11;2;Matches
286;Hugo Mallo\Hugo-Mallo;es ESP;DF;Celta Vigo;28;1991;16.4;1;1.2;-0.2;9;757;969;78.1;8;35;22.9;609;680;89.6;140;254;55.1;92;652;25;0;1;168;43;10;5;Matches
287;Aïssa Mandi\Aissa-Mandi;dz ALG;DF;Betis;27;1991;21.6;0;0.3;-0.3;4;1175;1285;91.4;9;16;56.3;813;855;95.1;353;414;85.3;114;1096;59;0;0;4;57;3;0;Matches
288;Eliaquim Mangala\Eliaquim-Mangala;fr FRA;DF;Valencia;28;1991;3.5;0;0.0;0.0;0;129;144;89.6;1;1;100.0;82;86;95.3;46;57;80.7;107;31;2;0;0;0;12;0;0;Matches
289;Marcelo\Marcelo;br BRA;DF;Real Madrid;31;1988;9.8;2;1.9;+0.1;21;629;760;82.8;11;34;32.4;511;568;90.0;107;158;67.7;582;86;9;1;0;75;59;35;10;Matches
290;Óscar de Marcos\Oscar-de-Marcos;es ESP;FW;Athletic Bilbao;30;1989;2.1;0;0.0;0.0;0;36;58;62.1;0;6;0.0;33;45;73.3;3;7;42.9;3;48;1;0;0;0;5;0;0;Matches
291;José María Giménez\Jose-Maria-Gimenez;uy URU;DF;Atlético Madrid;24;1995;11.0;0;0.0;0.0;0;374;423;88.4;5;8;62.5;236;259;91.1;133;156;85.3;66;322;31;0;0;1;18;1;0;Matches
292;Mariano\Mariano;do DOM;FW;Real Madrid;25;1993;0.0;0;0.0;0.0;0;0;0;;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;Matches
293;Adrián Marín\Adrian-Marin;es ESP;DF;Alavés;22;1997;3.8;0;0.0;0.0;0;106;144;73.6;0;3;0.0;94;107;87.9;12;34;35.3;96;7;2;0;1;30;8;1;0;Matches
294;Guillermo Maripán\Guillermo-Maripan;cl CHI;DF;Alavés;25;1994;1.0;0;0.0;0.0;0;7;11;63.6;0;1;0.0;6;8;75.0;1;2;50.0;1;10;1;0;0;0;0;0;0;Matches
295;Roger Martí\Roger-Marti;es ESP;FW;Levante;28;1991;17.5;0;1.1;-1.1;15;191;302;63.2;9;27;33.3;153;218;70.2;29;57;50.9;33;231;0;2;0;0;14;12;2;Matches
296;Daniel Martín\Daniel-Martin;es ESP;GK;Betis;21;1998;1.9;0;0.0;0.0;0;42;62;67.7;0;0;;22;23;95.7;20;39;51.3;3;46;4;0;0;0;0;0;0;Matches
