"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
59;Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang;ga GAB;FW;eng Arsenal;30;1989;6;4;406;3;0;0;0;0;0;0.67;0.00;0.67;0.67;0.67;2.8;2.8;0.9;0.61;0.21;0.82;0.61;0.82;Matches
60;Luís Aurélio\Luis-Aurelio;pt POR;MF;ro CFR Cluj;30;1988;2;1;64;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
61;Donis Avdijaj\Donis-Avdijaj;xk KVX;MF;tr Trabzonspor;22;1996;6;5;322;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.1;0.08;0.02;0.10;0.08;0.10;Matches
62;Felipe Avenatti\Felipe-Avenatti;uy URU;FW;be Standard Liège;26;1993;3;0;84;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
63;Behlül Aydın\Behlul-Aydin;tr TUR;MF;tr Trabzonspor;18;2000;1;0;31;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
64;Yassin Ayoub\Yassin-Ayoub;nl NED;MF;nl Feyenoord;25;1994;2;0;23;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.2;0.00;0.96;0.96;0.00;0.96;Matches
65;Demba Ba\Demba-Ba;sn SEN;FW;tr Başakşehir;34;1985;4;2;246;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;0.0;0.26;0.01;0.28;0.26;0.28;Matches
66;Ousseynou Ba\Ousseynou-Ba;sn SEN;DF;gr Olympiacos;23;1995;2;2;210;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.02;0.00;0.02;0.02;0.02;Matches
67;Ryan Babel\Ryan-Babel;nl NED;FW;nl Ajax;32;1986;2;2;180;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
68;Vladyslav Babohlo\Vladyslav-Babohlo;ua UKR;DF;ua FC Oleksandriya;20;1998;3;2;180;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
69;Fouad Bachirou\Fouad-Bachirou;km COM;MF;se Malmö;29;1990;7;7;630;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.2;0.01;0.03;0.04;0.01;0.04;Matches
70;Stéphane Badji\Stephane-Badji;sn SEN;MF;bg Ludogorets;29;1990;8;7;653;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.01;0.01;0.03;0.01;0.03;Matches
71;Leon Bailey\Leon-Bailey;jm JAM;FWMF;de Leverkusen;21;1997;2;0;17;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.90;0.00;0.90;0.90;0.90;Matches
72;Eric Bailly\Eric-Bailly;ci CIV;DF;eng Manchester Utd;25;1994;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
73;Kenan Bajrić\Kenan-Bajric;si SVN;DF;sk Slovan Bratislava;24;1994;5;3;284;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.08;0.00;0.08;0.08;0.08;Matches
74;Husein Balic\Husein-Balic;at AUT;FW;at LASK;23;1996;2;0;43;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.18;0.18;0.00;0.18;Matches
75;David von Ballmoos\David-von-Ballmoos;ch SUI;GK;ch Young Boys;24;1994;6;6;540;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
76;Yevhen Banada\Yevhen-Banada;ua UKR;MF;ua FC Oleksandriya;27;1992;5;5;450;1;0;0;0;1;0;0.20;0.00;0.20;0.20;0.20;0.9;0.9;0.1;0.17;0.02;0.19;0.17;0.19;Matches
77;Éver Banega\Ever-Banega;ar ARG;MFFW;es Sevilla;31;1988;3;0;69;0;1;0;0;0;0;0.00;1.30;1.30;0.00;1.30;0.2;0.2;0.5;0.20;0.59;0.79;0.20;0.79;Matches
78;Nicolò Barella\Nicolo-Barella;it ITA;MF;it Inter;22;1997;2;1;63;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.14;0.00;0.14;0.14;0.14;Matches
79;Borna Barišić\Borna-Barisic;hr CRO;DF;sco Rangers;26;1992;8;8;703;0;4;0;0;2;0;0.00;0.51;0.51;0.00;0.51;0.1;0.1;1.3;0.02;0.17;0.18;0.02;0.18;Matches
80;Brandon Barker\Brandon-Barker;eng ENG;FW;sco Rangers;22;1996;3;2;164;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.03;0.07;0.10;0.03;0.10;Matches
81;Romário Baró\Romario-Baro;pt POR;FW;pt Porto;19;2000;1;0;24;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.41;0.41;0.00;0.41;Matches
82;Karlo Bartolec\Karlo-Bartolec;hr CRO;DF;dk FC Copenhagen;24;1995;5;2;212;0;1;0;0;1;0;0.00;0.42;0.42;0.00;0.42;0.1;0.1;0.1;0.04;0.03;0.07;0.04;0.07;Matches
83;Samuel Bastien\Samuel-Bastien;be BEL;MF;be Standard Liège;22;1996;6;6;540;1;0;0;0;1;0;0.17;0.00;0.17;0.17;0.17;0.6;0.6;0.0;0.11;0.01;0.11;0.11;0.11;Matches
