id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
70;Stéphane Badji\Stephane-Badji;sn SEN;MF;bg Ludogorets;29;1990;7.3;1;0;0;11;9;0;2;15;13;0;0;0;87;5;8;38.5;Matches
71;Leon Bailey\Leon-Bailey;jm JAM;FWMF;de Leverkusen;21;1997;0.5;0;0;0;1;1;1;2;0;1;0;0;0;5;1;1;50.0;Matches
72;Eric Bailly\Eric-Bailly;ci CIV;DF;eng Manchester Utd;25;1994;2.0;0;0;0;2;0;0;0;3;1;0;0;0;21;8;2;80.0;Matches
73;Kenan Bajrić\Kenan-Bajric;si SVN;DF;sk Slovan Bratislava;24;1994;3.2;0;0;0;2;2;1;1;6;2;0;0;0;19;4;2;66.7;Matches
74;Husein Balic\Husein-Balic;at AUT;FW;at LASK;23;1996;0.7;0;0;0;1;0;2;2;0;1;0;0;0;2;0;1;0.0;Matches
75;David von Ballmoos\David-von-Ballmoos;ch SUI;GK;ch Young Boys;24;1994;6.0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;;Matches
76;Yevhen Banada\Yevhen-Banada;ua UKR;MF;ua FC Oleksandriya;27;1992;5.0;1;0;0;13;8;1;1;10;6;0;0;0;40;8;9;47.1;Matches
77;Éver Banega\Ever-Banega;ar ARG;MFFW;es Sevilla;31;1988;0.8;0;0;0;0;4;0;10;0;0;0;0;0;9;1;0;100.0;Matches
78;Nicolò Barella\Nicolo-Barella;it ITA;MF;it Inter;22;1997;0.7;0;0;0;1;0;0;0;0;2;0;0;0;6;1;0;100.0;Matches
79;Borna Barišić\Borna-Barisic;hr CRO;DF;sco Rangers;26;1992;8.8;2;0;0;11;5;0;61;16;8;0;0;1;67;10;4;71.4;Matches
80;Brandon Barker\Brandon-Barker;eng ENG;FW;sco Rangers;22;1996;1.8;0;0;0;3;2;0;2;1;4;0;0;0;4;0;4;0.0;Matches
81;Romário Baró\Romario-Baro;pt POR;FW;pt Porto;19;2000;0.3;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0.0;Matches
82;Karlo Bartolec\Karlo-Bartolec;hr CRO;DF;dk FC Copenhagen;24;1995;2.4;1;0;0;5;1;1;7;5;2;0;0;0;9;7;7;50.0;Matches
83;Samuel Bastien\Samuel-Bastien;be BEL;MF;be Standard Liège;22;1996;6.0;1;0;0;3;7;0;2;2;1;1;0;0;55;6;2;75.0;Matches
84;Alessandro Bastoni\Alessandro-Bastoni;it ITA;DF;it Inter;20;1999;0.2;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;;Matches
85;Bastos\Bastos;ao ANG;DF;it Lazio;28;1991;4.9;1;0;0;5;5;0;2;8;8;0;0;0;40;13;5;72.2;Matches
86;Rodrigo Battaglia\Rodrigo-Battaglia;ar ARG;MF;pt Sporting CP;28;1991;2.3;0;0;0;4;5;0;0;2;2;0;0;0;18;0;0;;Matches
87;Moritz Bauer\Moritz-Bauer;at AUT;DF;sco Celtic;27;1992;2.0;0;0;0;1;1;0;7;0;1;0;0;0;22;7;3;70.0;Matches
88;Noam Baumann\Noam-Baumann;ch SUI;GK;ch Lugano;23;1996;5.0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;;Matches
89;Timo Baumgartl\Timo-Baumgartl;de GER;DF;nl PSV Eindhoven;23;1996;3.0;0;0;0;3;0;0;2;2;3;0;1;0;24;2;2;50.0;Matches
90;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;de Leverkusen;31;1988;0.3;0;0;0;0;0;0;0;2;1;0;0;0;4;0;0;;Matches
91;Kerem Baykuş\Kerem-Baykus;tr TUR;MF;tr Trabzonspor;19;2000;1.1;0;0;0;2;0;0;0;0;2;0;0;0;11;1;1;50.0;Matches
92;Donny van de Beek\Donny-van-de-Beek;nl NED;MF;nl Ajax;22;1997;2.0;0;0;0;2;2;1;3;3;1;0;0;0;13;0;0;;Matches
93;Asmir Begović\Asmir-Begovic;ba BIH;GK;az Qarabağ Ağdam;32;1987;5.0;1;0;0;0;1;0;0;1;0;0;0;0;13;0;0;;Matches
94;Aziz Behich\Aziz-Behich;au AUS;DFFW;tr Başakşehir;28;1990;0.8;0;0;0;0;3;0;1;0;1;0;0;0;5;0;1;0.0;Matches
95;Felix Beijmo\Felix-Beijmo;se SWE;DF;se Malmö;21;1998;1.3;0;0;0;2;0;0;2;1;2;0;0;0;5;2;1;66.7;Matches
96;Abzal Beisebekov\Abzal-Beisebekov;kz KAZ;MFDF;kz Astana FK;26;1992;4.2;1;0;0;3;7;0;0;3;4;0;0;0;28;2;4;33.3;Matches
97;Vid Belec\Vid-Belec;si SVN;GK;cy APOEL;29;1990;7.0;0;0;0;0;2;0;0;0;0;0;0;0;28;0;0;;Matches
98;Karim Bellarabi\Karim-Bellarabi;de GER;FW;de Leverkusen;29;1990;0.7;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;;Matches
99;Héctor Bellerín\Hector-Bellerin;es ESP;DF;eng Arsenal;24;1995;2.9;1;0;0;2;0;1;3;3;1;0;0;0;28;4;4;50.0;Matches
100;Lars Bender\Lars-Bender;de GER;DF;de Leverkusen;30;1989;1.5;1;0;0;1;3;0;2;0;3;0;0;0;21;3;3;50.0;Matches
101;Sven Bender\Sven-Bender;de GER;DF;de Leverkusen;30;1989;1.7;0;0;0;0;1;0;0;4;4;0;0;0;11;6;6;50.0;Matches
102;Nicklas Bendtner\Nicklas-Bendtner;dk DEN;FW;dk FC Copenhagen;31;1988;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;50.0;Matches
103;László Bénes\Laszlo-Benes;sk SVK;MF;de M'gladbach;21;1997;3.2;2;0;0;5;7;0;28;3;3;0;0;0;33;2;1;66.7;Matches
104;Pierre Bengtsson\Pierre-Bengtsson;se SWE;DF;dk FC Copenhagen;31;1988;7.0;0;0;0;2;4;0;23;3;5;0;0;0;50;5;5;50.0;Matches
105;Rasmus Bengtsson\Rasmus-Bengtsson;se SWE;DF;se Malmö;33;1986;7.1;1;0;0;2;9;2;0;12;6;0;0;0;82;10;15;40.0;Matches
106;Bilal Benkhedim\Bilal-Benkhedim;fr FRA;MF;fr Saint-Étienne;18;2001;0.4;0;0;0;0;1;0;2;0;1;0;0;0;4;0;0;;Matches
107;Ryan Bennett\Ryan-Bennett;eng ENG;DF;eng Wolves;29;1990;2.0;0;0;0;0;0;0;1;5;1;0;0;0;19;7;4;63.6;Matches
108;Ramy Bensebaini\Ramy-Bensebaini;dz ALG;DF;de M'gladbach;24;1995;3.2;2;0;0;8;5;0;12;3;4;0;0;0;47;8;4;66.7;Matches
109;Marcus Berg\Marcus-Berg;se SWE;FW;ru Krasnodar;32;1986;3.0;1;0;0;5;7;4;0;2;1;0;0;0;17;5;8;38.5;Matches
110;Steven Berghuis\Steven-Berghuis;nl NED;FW;nl Feyenoord;27;1991;6.0;3;0;0;4;6;2;33;4;6;0;0;0;44;1;4;20.0;Matches
111;Emil Bergström\Emil-Bergstrom;se SWE;DF;ch Basel;26;1993;2.0;0;0;0;1;1;0;0;2;3;0;0;0;24;2;1;66.7;Matches
