"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
385;Andrea Petagna\Andrea-Petagna;it ITA;FW;SPAL;24;1995;23.2;1;2.3;-1.3;19;420;573;73.3;8;31;25.8;320;402;79.6;92;140;65.7;360;133;2;1;3;7;27;13;0;Matches
386;Jacopo Petriccione\Jacopo-Petriccione;it ITA;MF;Lecce;24;1995;16.2;4;1.5;+2.5;30;692;802;86.3;12;15;80.0;469;524;89.5;211;263;80.2;70;699;42;0;35;5;50;18;4;Matches
387;Germán Pezzella\German-Pezzella;ar ARG;DF;Fiorentina;28;1991;21.0;0;0.3;-0.3;5;656;767;85.5;10;19;52.6;420;456;92.1;226;292;77.4;126;582;28;0;0;3;26;2;0;Matches
388;Giuseppe Pezzella\Giuseppe-Pezzella;it ITA;DF;Parma;21;1997;6.4;0;0.1;-0.1;1;225;298;75.5;0;9;0.0;172;200;86.0;53;89;59.6;207;28;8;0;0;54;27;2;0;Matches
389;Giuseppe Pezzella\Giuseppe-Pezzella;it ITA;DF;Udinese;21;1997;0.9;0;0.0;0.0;1;33;49;67.3;0;3;0.0;29;36;80.6;4;10;40.0;37;3;1;0;0;7;2;1;1;Matches
390;Krzysztof Piątek\Krzysztof-Piatek;pl POL;FW;Milan;24;1995;13.2;0;0.9;-0.9;13;181;239;75.7;8;17;47.1;152;193;78.8;21;29;72.4;8;184;0;0;0;1;15;3;0;Matches
391;Andrea Pinamonti\Andrea-Pinamonti;it ITA;FW;Genoa;20;1999;15.5;1;0.6;+0.4;11;266;356;74.7;14;28;50.0;224;284;78.9;28;44;63.6;37;258;1;2;0;0;11;4;1;Matches
392;Simone Pinna\Simone-Pinna;it ITA;DF;Cagliari;21;1997;1.0;0;0.1;-0.1;2;64;78;82.1;2;2;100.0;41;47;87.2;21;29;72.4;9;59;0;0;0;8;11;2;1;Matches
393;Fabio Pisacane\Fabio-Pisacane;it ITA;DF;Cagliari;33;1986;21.6;0;0.3;-0.3;5;752;849;88.6;1;9;11.1;489;525;93.1;262;315;83.2;167;621;16;0;0;10;14;2;0;Matches
394;Miralem Pjanić\Miralem-Pjanic;ba BIH;MF;Juventus;29;1990;19.3;2;1.7;+0.3;25;1332;1523;87.5;29;53;54.7;1075;1150;93.5;228;320;71.3;127;1353;88;4;42;2;152;18;1;Matches
395;Andrea Poli\Andrea-Poli;it ITA;MF;Bologna;29;1989;19.2;0;1.0;-1.0;13;838;940;89.1;20;28;71.4;673;727;92.6;145;185;78.4;103;799;27;5;1;6;104;16;2;Matches
396;Matteo Politano\Matteo-Politano;it ITA;FW;Napoli;25;1993;3.0;0;0.7;-0.7;8;120;153;78.4;4;8;50.0;96;110;87.3;20;35;57.1;124;26;3;1;7;2;9;5;0;Matches
397;Matteo Politano\Matteo-Politano;it ITA;FW;Inter;25;1993;2.8;0;0.7;-0.7;8;86;126;68.3;4;14;28.6;68;88;77.3;14;24;58.3;95;21;4;0;6;6;2;2;1;Matches
