"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
660;Lorenzo Venuti\Lorenzo-Venuti;it ITA;DF;Fiorentina;24;1995;7;428;61;19.0;4.8;5;83;2;6;18;1.00;6;8;-2;-0.42;-0.32;6.2;7.1;-1.0;-0.20;-0.38;Matches
661;Brayan Vera\Brayan-Vera;co COL;FWMF;Lecce;20;1999;3;28;9;1.2;0.3;0;;3;9;23;1.00;0;0;0;0.00;+0.86;0.9;0.8;+0.1;+0.41;+1.47;Matches
662;Simone Verdi\Simone-Verdi;it ITA;MFFW;Torino;27;1992;22;1323;60;58.8;14.7;17;71;5;23;0;0.95;17;25;-8;-0.54;+0.33;15.9;27.9;-12.0;-0.82;-0.11;Matches
663;Simone Verdi\Simone-Verdi;it ITA;FWMF;Napoli;27;1992;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
664;Jordan Veretout\Jordan-Veretout;fr FRA;MF;Roma;26;1993;24;1918;80;82.0;21.3;22;86;2;14;2;1.79;40;26;+14;+0.66;+0.23;39.6;28.7;+10.9;+0.51;-0.56;Matches
665;Edoardo Vergani\Edoardo-Vergani;it ITA;FW;Inter;18;2001;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
666;Valerio Verre\Valerio-Verre;it ITA;FWMF;Hellas Verona;25;1994;22;1298;59;60.1;14.4;16;71;6;28;2;1.55;22;14;+8;+0.55;+0.97;21.0;17.2;+3.8;+0.26;+0.62;Matches
667;Francesco Vicari\Francesco-Vicari;it ITA;DF;SPAL;24;1994;22;1859;85;82.6;20.7;21;88;1;11;2;0.68;16;32;-16;-0.77;+1.30;24.5;35.7;-11.2;-0.54;+0.17;Matches
668;Ronaldo Vieira\Ronaldo-Vieira;gw GNB;MF;Sampdoria;21;1998;20;1442;72;66.8;16.0;16;84;4;24;2;0.85;15;28;-13;-0.81;-0.31;18.8;22.4;-3.6;-0.23;-0.81;Matches
669;Mauro Vigorito\Mauro-Vigorito;it ITA;GK;Lecce;29;1990;5;422;84;18.0;4.7;4;90;1;62;20;1.80;9;9;0;0.00;+1.03;7.3;11.1;-3.8;-0.80;+0.29;Matches
670;Gonzalo Villar\Gonzalo-Villar;es ESP;MF;Roma;21;1998;3;111;37;4.7;1.2;1;90;2;11;2;1.00;4;3;+1;+0.81;+0.21;3.9;1.2;+2.7;+2.20;+1.67;Matches
671;Luigi Vitale\Luigi-Vitale;it ITA;DF;Hellas Verona;31;1987;2;39;20;1.8;0.4;0;;2;20;13;2.00;1;0;+1;+2.31;+2.18;0.2;0.4;-0.2;-0.47;-0.50;Matches
672;Mattia Viviani\Mattia-Viviani;it ITA;MF;Brescia;18;2000;3;144;48;6.4;1.6;1;90;2;27;8;1.00;1;6;-5;-3.12;-2.31;2.2;4.2;-2.0;-1.23;-0.56;Matches
673;Dušan Vlahović\Dusan-Vlahovic;rs SRB;FW;Fiorentina;19;2000;21;1056;50;46.9;11.7;9;83;12;26;4;1.05;18;24;-6;-0.51;-0.66;19.3;18.5;+0.8;+0.07;-0.06;Matches
674;Stefan de Vrij\Stefan-de-Vrij;nl NED;DF;Inter;27;1992;22;1915;87;88.7;21.3;21;90;1;25;1;2.18;41;19;+22;+1.03;-0.80;38.4;24.3;+14.1;+0.66;-0.61;Matches
675;Walace\Walace;br BRA;MF;Udinese;24;1995;10;436;44;19.4;4.8;4;84;6;17;15;1.10;4;7;-3;-0.62;+0.03;4.9;8.8;-3.9;-0.80;-0.35;Matches
676;Sebastian Walukiewicz\Sebastian-Walukiewicz;pl POL;DF;Cagliari;19;2000;4;325;81;14.4;3.6;3;83;1;75;19;0.25;1;7;-6;-1.66;-1.99;2.9;6.8;-3.9;-1.07;-0.75;Matches
677;Wesley\Wesley;br BRA;DF;Hellas Verona;19;2000;0;;;;;0;;0;;8;;;;;;;;;;;;Matches
678;Wesley\Wesley;br BRA;DF;Juventus;19;2000;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
679;Jawad El Yamiq\Jawad-El-Yamiq;ma MAR;DF;Genoa;27;1992;3;196;65;8.7;2.2;2;90;1;16;14;0.33;1;9;-8;-3.67;-3.28;2.3;4.8;-2.5;-1.15;-0.83;Matches
680;Maya Yoshida\Maya-Yoshida;jp JPN;DF;Sampdoria;30;1988;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
681;Amin Younes\Amin-Younes;de GER;FWMF;Napoli;25;1993;6;143;24;6.1;1.6;1;65;5;16;12;1.33;2;0;+2;+1.26;+1.14;2.8;1.4;+1.4;+0.91;+0.41;Matches
682;Ashley Young\Ashley-Young;eng ENG;DF;Inter;34;1985;4;360;90;16.7;4.0;4;90;0;;0;1.75;7;5;+2;+0.50;-0.75;6.7;5.2;+1.5;+0.37;-0.43;Matches
683;Mattia Zaccagni\Mattia-Zaccagni;it ITA;FWMF;Hellas Verona;24;1995;22;1480;67;68.5;16.4;19;74;3;28;1;1.32;14;18;-4;-0.24;-1.30;20.9;23.2;-2.3;-0.14;-0.49;Matches
684;Federico Zanchetta\Federico-Zanchetta;it ITA;MF;SPAL;17;2002;0;;;;;0;;0;;1;;;;;;;;;;;;Matches
685;Nicolò Zaniolo\Nicolo-Zaniolo;it ITA;FWMF;Roma;20;1999;18;1295;72;55.3;14.4;15;81;3;25;0;1.78;24;16;+8;+0.56;-0.13;25.9;19.5;+6.5;+0.45;-0.36;Matches
686;Cristián Zapata\Cristian-Zapata;co COL;DF;Genoa;32;1986;12;1080;90;48.0;12.0;12;90;0;;5;0.83;15;23;-8;-0.67;+0.03;15.0;22.6;-7.6;-0.63;-0.45;Matches
687;Duván Zapata\Duvan-Zapata;co COL;FW;Atalanta;28;1991;15;1062;71;47.2;11.8;13;78;2;24;0;2.20;37;18;+19;+1.61;+0.32;29.9;11.7;+18.2;+1.55;+0.30;Matches
688;Davide Zappacosta\Davide-Zappacosta;it ITA;DF;Roma;27;1992;1;12;12;0.5;0.1;0;;1;12;0;1.00;0;0;0;0.00;-0.62;0.5;0.0;+0.5;+3.77;+3.17;Matches
689;Simone Zaza\Simone-Zaza;it ITA;FW;Torino;28;1991;15;871;58;38.7;9.7;7;86;8;34;2;0.73;11;16;-5;-0.52;+0.27;9.9;15.9;-6.0;-0.62;+0.24;Matches
690;Marvin Zeegelaar\Marvin-Zeegelaar;nl NED;DF;Udinese;28;1990;3;82;27;3.6;0.9;0;;3;27;2;0.67;1;2;-1;-1.10;-0.47;1.0;1.8;-0.8;-0.87;-0.37;Matches
691;Piotr Zieliński\Piotr-Zielinski;pl POL;MF;Napoli;25;1994;26;2153;83;92.0;23.9;23;88;3;39;0;1.50;37;33;+4;+0.17;-0.31;40.1;27.0;+13.2;+0.55;+0.33;Matches
