"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
64;Kevin Bonifazi\Kevin-Bonifazi;it ITA;DF;Torino;23;1996;3;3;248;1;0;0;0;0;0;0.36;0.00;0.36;0.36;0.36;0.2;0.2;0.0;0.06;0.01;0.07;0.06;0.07;Matches
65;Kevin Bonifazi\Kevin-Bonifazi;it ITA;DF;SPAL;23;1996;5;4;405;1;0;0;0;1;0;0.22;0.00;0.22;0.22;0.22;1.0;1.0;0.0;0.22;0.00;0.22;0.22;0.22;Matches
66;Leonardo Bonucci\Leonardo-Bonucci;it ITA;DF;Juventus;32;1987;24;24;2134;3;0;0;0;5;0;0.13;0.00;0.13;0.13;0.13;2.2;2.2;0.4;0.09;0.02;0.11;0.09;0.11;Matches
67;Fabio Borini\Fabio-Borini;it ITA;FWMF;Hellas Verona;28;1991;6;3;358;2;0;0;0;1;0;0.50;0.00;0.50;0.50;0.50;1.3;1.3;0.2;0.33;0.06;0.39;0.33;0.39;Matches
68;Fabio Borini\Fabio-Borini;it ITA;MFFW;Milan;28;1991;2;1;70;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.09;0.00;0.09;0.09;0.09;Matches
69;Mehdi Bourabia\Mehdi-Bourabia;ma MAR;MF;Sassuolo;27;1991;6;2;192;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.4;0.04;0.17;0.21;0.04;0.21;Matches
70;Gleison Bremer\Gleison-Bremer;br BRA;DF;Torino;22;1997;14;14;1120;1;1;0;0;6;2;0.08;0.08;0.16;0.08;0.16;0.3;0.3;0.0;0.03;0.00;0.03;0.03;0.03;Matches
71;Marcelo Brozović\Marcelo-Brozovic;hr CRO;MF;Inter;26;1992;22;21;1901;3;5;0;0;5;0;0.14;0.24;0.38;0.14;0.38;2.5;2.5;2.1;0.12;0.10;0.22;0.12;0.22;Matches
72;Gastón Brugman\Gaston-Brugman;uy URU;MF;Parma;26;1992;14;10;896;0;1;0;0;1;0;0.00;0.10;0.10;0.00;0.10;0.1;0.1;0.8;0.01;0.08;0.09;0.01;0.09;Matches
73;Gianluigi Buffon\Gianluigi-Buffon;it ITA;GK;Juventus;41;1978;7;7;630;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.2;0.00;0.03;0.03;0.00;0.03;Matches
74;Fabrizio Cacciatore\Fabrizio-Cacciatore;it ITA;DF;Cagliari;32;1986;13;13;1065;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.4;0.03;0.03;0.06;0.03;0.06;Matches
75;Martín Cáceres\Martin-Caceres;uy URU;DF;Fiorentina;32;1987;19;19;1658;1;0;0;0;6;0;0.05;0.00;0.05;0.05;0.05;1.8;1.8;0.4;0.10;0.02;0.12;0.10;0.12;Matches
