"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
469;Georginio Wijnaldum\Georginio-Wijnaldum;nl NED;MF;Liverpool;28;1990;24.9;0;1.0;-1.0;10;1098;1210;90.7;22;42;52.4;916;982;93.3;160;186;86.0;131;1002;11;4;0;11;102;17;0;Matches
470;Jetro Willems\Jetro-Willems;nl NED;DF;Newcastle Utd;25;1994;16.6;2;1.3;+0.7;16;408;582;70.1;6;26;23.1;321;387;82.9;81;169;47.9;336;91;10;0;1;121;30;13;5;Matches
471;Brandon Williams\Brandon-Williams;eng ENG;DF;Manchester Utd;18;2000;7.6;0;0.3;-0.3;9;347;423;82.0;4;10;40.0;300;344;87.2;43;69;62.3;122;238;5;0;1;45;17;12;1;Matches
472;Willian\Willian;br BRA;FW;Chelsea;30;1988;20.6;4;4.0;0.0;43;882;1118;78.9;25;48;52.1;678;792;85.6;179;278;64.4;122;951;11;4;64;8;54;46;5;Matches
473;Joe Willock\Joe-Willock;eng ENG;MF;Arsenal;19;1999;6.4;0;0.5;-0.5;11;221;269;82.2;10;15;66.7;172;197;87.3;39;57;68.4;30;220;1;0;1;1;25;5;0;Matches
474;Jack Wilshere\Jack-Wilshere;eng ENG;MF;West Ham;27;1992;1.9;0;0.0;0.0;0;50;59;84.7;1;2;50.0;44;49;89.8;5;8;62.5;50;3;2;0;0;0;3;0;0;Matches
475;Callum Wilson\Callum-Wilson;eng ENG;FW;Bournemouth;27;1992;25.1;0;2.2;-2.2;21;270;410;65.9;18;53;34.0;224;312;71.8;28;45;62.2;42;306;0;5;0;1;24;10;1;Matches
476;Harry Wilson\Harry-Wilson;wal WAL;MFFW;Bournemouth;22;1997;16.1;0;1.8;-1.8;15;382;503;75.9;6;31;19.4;284;332;85.5;92;140;65.7;427;46;7;6;15;8;30;19;2;Matches
477;Harry Winks\Harry-Winks;eng ENG;MF;Tottenham;23;1996;17.7;0;0.9;-0.9;13;1089;1238;88.0;15;26;57.7;821;885;92.8;253;327;77.4;152;1043;25;4;6;4;121;14;1;Matches
478;Chris Wood\Chris-Wood;nz NZL;FW;Burnley;27;1991;22.0;1;0.8;+0.2;15;249;386;64.5;15;30;50.0;214;320;66.9;20;36;55.6;46;207;0;0;0;1;8;5;0;Matches
479;Granit Xhaka\Granit-Xhaka;ch SUI;MF;Arsenal;26;1992;20.2;1;0.9;+0.1;12;1222;1383;88.4;7;20;35.0;875;952;91.9;340;411;82.7;1084;211;45;3;0;11;143;19;2;Matches
480;Andriy Yarmolenko\Andriy-Yarmolenko;ua UKR;MF;West Ham;29;1989;9.2;1;2.5;-1.5;13;260;324;80.2;10;18;55.6;202;232;87.1;48;74;64.9;238;70;3;1;1;2;11;6;1;Matches
481;DeAndre Yedlin\DeAndre-Yedlin;us USA;DF;Newcastle Utd;26;1993;8.6;0;0.2;-0.2;5;195;272;71.7;6;16;37.5;154;187;82.4;35;69;50.7;13;202;1;0;0;34;10;3;1;Matches
482;Maya Yoshida\Maya-Yoshida;jp JPN;DF;Southampton;30;1988;6.2;0;0.0;0.0;0;207;247;83.8;3;4;75.0;151;167;90.4;53;76;69.7;49;174;5;0;0;3;10;1;0;Matches
483;Ashley Young\Ashley-Young;eng ENG;DF;Manchester Utd;34;1985;10.6;0;1.2;-1.2;17;565;735;76.9;3;20;15.0;441;495;89.1;121;220;55.0;86;502;28;1;35;119;58;11;1;Matches
484;Pablo Zabaleta\Pablo-Zabaleta;ar ARG;DF;West Ham;34;1985;6.5;0;0.4;-0.4;4;247;326;75.8;1;14;7.1;211;246;85.8;35;66;53.0;27;201;4;0;0;64;28;3;0;Matches
485;Wilfried Zaha\Wilfried-Zaha;ci CIV;MFFW;Crystal Palace;26;1992;27.3;3;2.4;+0.6;27;721;920;78.4;16;63;25.4;610;724;84.3;95;133;71.4;121;759;1;0;0;22;42;53;8;Matches
486;Christoph Zimmermann\Christoph-Zimmermann;de GER;DF;Norwich City;26;1993;14.4;1;0.0;+1.0;0;479;585;81.9;3;10;30.0;306;331;92.4;170;244;69.7;76;461;17;0;0;3;22;1;0;Matches
487;Oleksandr Zinchenko\Oleksandr-Zinchenko;ua UKR;DF;Manchester City;22;1996;9.2;0;0.7;-0.7;12;743;824;90.2;8;16;50.0;618;666;92.8;117;142;82.4;657;58;5;1;1;68;71;18;9;Matches
488;Kurt Zouma\Kurt-Zouma;fr FRA;DF;Chelsea;24;1994;19.0;0;0.2;-0.2;1;1218;1383;88.1;3;14;21.4;777;846;91.8;438;523;83.7;241;1051;22;0;0;4;73;2;0;Matches
