"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
546;Kieran Trippier\Kieran-Trippier;eng ENG;DF;Atlético Madrid;28;1990;18;1437;80;61.4;16.0;16;87;2;21;3;1.89;20;11;+9;+0.56;+0.46;22.2;10.6;+11.6;+0.73;+0.49;Matches
547;Samuel Umtiti\Samuel-Umtiti;fr FRA;DF;Barcelona;25;1993;11;839;76;35.9;9.3;9;90;2;15;8;2.45;22;10;+12;+1.29;+0.15;15.9;6.2;+9.7;+1.04;+0.38;Matches
548;Enes Ünal\Enes-Unal;tr TUR;FW;Valladolid;22;1997;23;1620;70;69.2;18.0;16;88;7;30;1;1.17;19;20;-1;-0.06;+0.69;15.8;23.8;-8.0;-0.44;+0.06;Matches
549;Tomáš Vaclík\Tomas-Vaclik;cz CZE;GK;Sevilla;30;1989;25;2205;88;94.2;24.5;25;88;0;;0;1.72;32;25;+7;+0.29;-1.71;31.6;21.6;+10.0;+0.41;-0.50;Matches
550;Álvaro Vadillo\Alvaro-Vadillo;es ESP;FWMF;Granada;24;1994;22;1223;56;52.3;13.6;15;71;7;22;4;1.27;12;17;-5;-0.37;-0.85;12.9;14.5;-1.5;-0.11;-0.18;Matches
551;Germán Valera\German-Valera;es ESP;FW;Atlético Madrid;17;2002;1;3;3;0.1;0.0;0;;1;3;0;3.00;0;0;0;0.00;-0.39;0.1;0.1;-0.1;-2.45;-3.00;Matches
552;Martin Valjent\Martin-Valjent;sk SVK;DF;Mallorca;23;1995;26;2340;90;100.0;26.0;26;90;0;;0;0.85;26;43;-17;-0.65;;28.2;41.2;-13.0;-0.50;;Matches
553;Jesús Vallejo\Jesus-Vallejo;es ESP;DF;Granada;22;1997;2;94;47;4.0;1.0;1;90;1;4;2;0.50;0;0;0;0.00;-0.04;0.8;0.3;+0.5;+0.50;+0.55;Matches
554;Manu Vallejo\Manu-Vallejo;es ESP;MFFW;Valencia;22;1997;8;315;39;13.0;3.5;2;76;6;27;4;1.88;8;4;+4;+1.14;+1.36;6.1;3.8;+2.4;+0.68;+1.20;Matches
555;Federico Valverde\Federico-Valverde;uy URU;MF;Real Madrid;21;1998;21;1255;60;53.6;13.9;14;84;7;12;2;2.14;30;7;+23;+1.65;+0.99;26.7;11.6;+15.1;+1.08;+0.25;Matches
556;Raphaël Varane\Raphael-Varane;fr FRA;DF;Real Madrid;26;1993;22;1980;90;84.6;22.0;22;90;0;;3;2.23;44;15;+29;+1.32;+0.82;38.5;17.9;+20.6;+0.94;-0.20;Matches
557;Matías Vargas\Matias-Vargas;ar ARG;FWMF;Espanyol;21;1997;16;942;59;40.3;10.5;10;81;6;22;5;0.81;6;16;-10;-0.96;-0.18;9.8;11.1;-1.3;-0.13;+0.17;Matches
558;Franco Vázquez\Franco-Vazquez;ar ARG;MFFW;Sevilla;30;1989;22;885;40;37.8;9.8;9;72;13;18;2;1.82;16;13;+3;+0.31;-0.13;14.2;11.3;+2.9;+0.29;-0.23;Matches
559;Kevin Vázquez\Kevin-Vazquez;es ESP;DF;Celta Vigo;26;1993;9;735;82;31.4;8.2;9;82;0;;7;1.00;7;9;-2;-0.24;+0.32;10.5;10.9;-0.4;-0.05;+0.20;Matches
560;Lucas Vázquez\Lucas-Vazquez;es ESP;FWMF;Real Madrid;28;1991;13;549;42;23.5;6.1;5;85;8;16;2;2.46;18;7;+11;+1.80;+0.80;12.6;3.3;+9.3;+1.52;+0.73;Matches
561;Koke Vegas\Koke-Vegas;es ESP;GK;Levante;23;1995;0;;;;;0;;0;;4;;;;;;;;;;;;Matches
562;Unai Vencedor Paris\Unai-Vencedor-Paris;es ESP;MF;Athletic Bilbao;18;2000;1;74;74;3.2;0.8;1;74;0;;0;0.00;0;1;-1;-1.22;-1.38;0.4;0.4;-0.1;-0.09;-0.14;Matches
563;Mikel Vesga\Mikel-Vesga;es ESP;MF;Athletic Bilbao;26;1993;8;645;81;27.6;7.2;7;89;1;24;5;0.88;4;6;-2;-0.28;-0.54;6.6;9.6;-3.0;-0.41;-0.63;Matches
564;Rúben Vezo\Ruben-Vezo;pt POR;DF;Levante;25;1994;18;1620;90;69.2;18.0;18;90;0;;0;1.28;21;24;-3;-0.17;+0.46;19.2;31.5;-12.2;-0.68;-0.08;Matches
565;Fede Vico\Fede-Vico;es ESP;MFFW;Granada;25;1994;8;364;46;15.6;4.0;5;63;3;17;1;1.75;6;6;0;0.00;-0.05;4.2;3.4;+0.8;+0.20;+0.27;Matches
566;Aleix Vidal\Aleix-Vidal;es ESP;MF;Alavés;29;1989;25;1997;80;82.2;22.2;23;84;2;31;0;1.20;25;28;-3;-0.14;+0.90;23.8;29.1;-5.3;-0.24;+0.11;Matches
567;Arturo Vidal\Arturo-Vidal;cl CHI;MFFW;Barcelona;32;1987;21;907;43;38.8;10.1;8;77;13;23;3;2.05;28;11;+17;+1.69;+0.81;20.6;9.0;+11.7;+1.16;+0.60;Matches
568;Nacho Vidal\Nacho-Vidal;es ESP;DF;Osasuna;24;1995;18;1556;86;66.5;17.3;18;86;0;;2;1.56;21;20;+1;+0.06;+0.75;23.3;18.3;+5.0;+0.29;+1.04;Matches
569;Dídac Vilà\Didac-Vila;es ESP;DF;Espanyol;30;1989;20;1652;83;70.6;18.4;18;87;2;46;4;0.90;15;31;-16;-0.87;-0.09;17.3;21.8;-4.5;-0.25;-0.06;Matches
570;Toni Villa\Toni-Villa;es ESP;MF;Valladolid;24;1995;17;1081;64;46.2;12.0;14;72;3;26;7;1.29;12;10;+2;+0.17;+0.81;12.4;12.9;-0.5;-0.04;+0.78;Matches
571;Asier Villalibre\Asier-Villalibre;es ESP;FW;Athletic Bilbao;21;1997;9;340;38;14.5;3.8;4;63;5;18;2;0.89;3;4;-1;-0.26;-0.44;3.5;3.0;+0.5;+0.14;+0.11;Matches
572;Iván Villar\Ivan-Villar;es ESP;GK;Celta Vigo;22;1997;0;;;;;0;;0;;3;;;;;;;;;;;;Matches
573;Juan Villar\Juan-Villar;es ESP;FW;Osasuna;31;1988;10;234;23;10.0;2.6;2;74;8;11;8;0.80;6;4;+2;+0.77;+1.07;5.4;3.3;+2.1;+0.81;+0.97;Matches
