"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"Matches"
276;Kirill Panchenko\Kirill-Panchenko;ru RUS;MF;Dynamo Mosc;29;1989;7.8;2;0;1;45;11;;24.4;5.74;1.40;0.04;0.18;Matches
277;Kaio Pantaleão\Kaio-Pantaleao;br BRA;MFDF;Krasnodar;23;1995;2.3;0;0;0;2;0;;0.0;0.88;0.00;0.00;;Matches
278;Andrei Panyukov\Andrei-Panyukov;ru RUS;FW;Ural;24;1994;9.9;3;0;0;13;5;;38.5;1.32;0.51;0.23;0.60;Matches
279;Sergei Parshivlyuk\Sergei-Parshivlyuk;ru RUS;DF;Dynamo Mosc;30;1989;12.9;0;0;0;7;2;;28.6;0.54;0.15;0.00;0.00;Matches
280;Yevgeni Pesegov\Yevgeni-Pesegov;ru RUS;MF;Sochi;30;1989;3.4;0;0;0;6;2;;33.3;1.78;0.59;0.00;0.00;Matches
281;Sergei Pesyakov\Sergei-Pesyakov;ru RUS;GK;Rostov;30;1988;8.0;0;0;0;0;0;;;0.00;0.00;;;Matches
282;Sergei Petrov\Sergei-Petrov;ru RUS;DF;Krasnodar;28;1991;19.0;2;0;0;14;3;;21.4;0.74;0.16;0.14;0.67;Matches
283;Maximilian Philipp\Maximilian-Philipp;de GER;MFFW;Dynamo Mosc;25;1994;8.8;6;3;3;32;16;;50.0;3.64;1.82;0.09;0.19;Matches
284;Konstantin Pliyev\Konstantin-Pliyev;ru RUS;DF;Rubin Kazan;22;1996;11.0;0;0;0;2;0;;0.0;0.18;0.00;0.00;;Matches
285;Zaurbek Pliyev\Zaurbek-Pliyev;kz KAZ;DF;Dynamo Mosc;27;1991;8.9;0;0;0;6;0;;0.0;0.68;0.00;0.00;;Matches
286;Vyacheslav Podberyozkin\Vyacheslav-Podberyozkin;ru RUS;MF;Rubin Kazan;27;1992;14.2;0;0;0;10;5;;50.0;0.71;0.35;0.00;0.00;Matches
287;Pavel Pogrebnyak\Pavel-Pogrebnyak;ru RUS;FW;Ural;35;1983;4.5;2;0;0;10;4;;40.0;2.22;0.89;0.20;0.50;Matches
288;Nikolai Poiarkov\Nikolai-Poiarkov;ru RUS;DF;Rubin Kazan;19;1999;5.9;0;0;0;2;1;;50.0;0.34;0.17;0.00;0.00;Matches
289;Dmitry Poloz\Dmitry-Poloz;ru RUS;FW;Sochi;28;1991;12.0;3;2;2;24;9;;37.5;2.01;0.75;0.04;0.11;Matches
290;Vladimir Poluyakhtov\Vladimir-Poluyakhtov;ru RUS;DF;Samara;30;1989;9.8;0;0;0;3;0;;0.0;0.31;0.00;0.00;;Matches
291;Aleksei Pomerko\Aleksei-Pomerko;ru RUS;MF;Sochi;29;1990;7.1;0;0;0;10;5;;50.0;1.40;0.70;0.00;0.00;Matches
292;Andrés Ponce\Andres-Ponce;ve VEN;FW;Akhmat Grozny;22;1996;8.6;3;2;2;26;7;;26.9;3.04;0.82;0.04;0.14;Matches
293;Ezequiel Ponce\Ezequiel-Ponce;ar ARG;FWMF;Spartak Moscow;22;1997;10.3;3;0;0;37;14;;37.8;3.61;1.37;0.08;0.21;Matches
294;Ivelin Popov\Ivelin-Popov;bg BUL;MF;Rostov;31;1987;16.2;2;0;1;33;11;;33.3;2.03;0.68;0.06;0.18;Matches
295;Denis Popović\Denis-Popovic;si SVN;MF;Samara;29;1989;1.0;1;0;0;1;1;;100.0;1.00;1.00;1.00;1.00;Matches
296;Aleksandr Putsko\Aleksandr-Putsko;ru RUS;DF;Ufa;26;1993;15.5;0;0;0;3;0;;0.0;0.19;0.00;0.00;;Matches
297;Uroš Radaković\Uros-Radakovic;rs SRB;DF;Orenburg;25;1994;11.0;1;0;0;7;3;;42.9;0.64;0.27;0.14;0.33;Matches
298;Dejan Radonjić\Dejan-Radonjic;hr CRO;FW;Samara;29;1990;6.0;2;0;0;31;12;;38.7;5.15;1.99;0.06;0.17;Matches
299;Yaroslav Rakitskiy\Yaroslav-Rakitskiy;ua UKR;DF;Zenit;29;1989;19.0;0;0;0;14;2;;14.3;0.74;0.11;0.00;0.00;Matches
300;Cristian Ramírez\Cristian-Ramirez;ec ECU;DF;Krasnodar;24;1994;15.4;0;0;0;26;4;;15.4;1.69;0.26;0.00;0.00;Matches
301;Nikolai Rasskazov\Nikolai-Rasskazov;ru RUS;DFMF;Spartak Moscow;21;1998;9.9;0;0;0;3;0;;0.0;0.30;0.00;0.00;;Matches
302;Konstantin Rausch\Konstantin-Rausch;ru RUS;DFMF;Dynamo Mosc;29;1990;12.4;0;0;0;13;2;;15.4;1.04;0.16;0.00;0.00;Matches
303;Ravanelli\Ravanelli;br BRA;MF;Akhmat Grozny;21;1997;0.5;0;0;0;0;0;;;0.00;0.00;;;Matches
304;Artyom Rebrov\Artyom-Rebrov;ru RUS;GK;Spartak Moscow;35;1984;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
305;Emiliano Rigoni\Emiliano-Rigoni;ar ARG;MF;Zenit;26;1993;2.2;0;0;0;8;1;;12.5;3.60;0.45;0.00;0.00;Matches
306;Artur Rimovič Jusupov\Artur-Rimovic-Jusupov;ru RUS;MF;Dynamo Mosc;29;1989;12.1;1;0;0;13;9;;69.2;1.07;0.74;0.08;0.11;Matches
