id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OGMatches
122;Mark Diemers\Mark-Diemers;nl NED;MFFW;Fortuna Sittard;25;1993;25.8;3;0;0;23;87;4;161;20;12;;;0;Matches
123;Stan van Dijck\Stan-van-Dijck;nl NED;DF;VVV-Venlo;18;2000;0.1;0;0;0;0;0;0;0;0;0;;;0;Matches
124;Ritsu Doan\Ritsu-Doan;jp JPN;FW;PSV Eindhoven;21;1998;10.4;1;0;0;8;19;1;18;16;11;;;0;Matches
125;Ritsu Doan\Ritsu-Doan;jp JPN;MF;Groningen;21;1998;2.0;0;0;0;1;2;0;1;1;2;;;0;Matches
126;Danilho Doekhi\Danilho-Doekhi;nl NED;DF;Vitesse;21;1998;25.0;2;0;0;17;8;0;2;18;28;;;0;Matches
127;Kasper Dolberg\Kasper-Dolberg;dk DEN;FW;Ajax;21;1997;0.9;0;0;0;0;0;0;0;0;0;;;0;Matches
128;Jacky Donkor\Jacky-Donkor;be BEL;FW;Fortuna Sittard;20;1998;0.1;0;0;0;0;0;0;3;1;0;;;0;Matches
129;Dabney dos Santos\Dabney-dos-Santos;nl NED;MFFW;Heracles Almelo;23;1996;8.5;0;0;0;11;11;4;17;8;7;;;0;Matches
130;Marc-Olivier Doué\Marc-Olivier-Doue;fr FRA;MF;Zwolle;18;2000;0.0;0;0;0;0;0;0;0;0;2;;;0;Matches
131;Ibrahim Drešević\Ibrahim-Dresevic;xk KVX;DF;Heerenveen;22;1997;25.0;4;0;0;24;26;0;2;27;35;;;0;Matches
132;Anders Dreyer\Anders-Dreyer;dk DEN;FW;Heerenveen;21;1998;2.5;0;0;0;4;2;0;1;4;2;;;0;Matches
133;Joel Drommel\Joel-Drommel;nl NED;GK;Twente;22;1996;23.2;0;1;0;1;2;0;0;1;2;;;0;Matches
134;Henrico Drost\Henrico-Drost;nl NED;DF;RKC Waalwijk;32;1987;2.5;1;0;0;3;1;1;0;1;6;;;0;Matches
