"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
507;Romain Thomas\Romain-Thomas;fr FRA;DF;Angers;31;1988;25.0;2;0.2;+1.8;4;964;1107;87.1;8;14;57.1;519;555;93.5;437;538;81.2;899;119;51;0;0;2;48;1;0;Matches
508;Adrien Thomasson\Adrien-Thomasson;fr FRA;MF;Strasbourg;25;1993;23.1;1;4.2;-3.2;40;736;950;77.5;23;61;37.7;586;700;83.7;127;189;67.2;139;745;17;2;4;13;69;24;3;Matches
509;Khéphren Thuram-Ulie\Khephren-Thuram-Ulie;fr FRA;MF;Nice;18;2001;6.5;0;0.1;-0.1;3;320;368;87.0;6;15;40.0;250;272;91.9;64;81;79.0;73;283;7;0;0;0;17;1;0;Matches
510;Cheick Timite\Cheick-Timite;ci CIV;MFFW;Amiens;21;1997;1.3;0;0.2;-0.2;1;32;41;78.0;1;3;33.3;27;32;84.4;4;6;66.7;3;32;0;0;0;1;0;3;1;Matches
511;Karl Toko Ekambi\Karl-Toko-Ekambi;cm CMR;FW;Lyon;26;1992;5.0;1;0.9;+0.1;6;130;165;78.8;6;13;46.2;103;121;85.1;21;31;67.7;15;137;0;0;0;2;4;3;1;Matches
512;Abdoulaye Touré\Abdoulaye-Toure;fr FRA;MF;Nantes;25;1994;23.7;0;0.8;-0.8;17;1064;1257;84.6;21;42;50.0;812;930;87.3;231;285;81.1;251;905;10;2;0;2;108;7;1;Matches
513;Lucas Tousart\Lucas-Tousart;fr FRA;MF;Lyon;22;1997;18.7;2;0.7;+1.3;11;789;926;85.2;19;39;48.7;550;621;88.6;220;266;82.7;102;733;15;0;1;1;63;6;4;Matches
514;Adama Traoré\Adama-Traore;ml MLI;FWMF;Metz;24;1995;11.2;4;4.1;-0.1;34;396;490;80.8;13;17;76.5;303;355;85.4;80;118;67.8;378;88;21;3;36;5;40;13;1;Matches
515;Adama Traoré\Adama-Traore;ml MLI;MF;Monaco;24;1995;0.3;0;0.0;0.0;0;10;12;83.3;0;0;;7;7;100.0;3;5;60.0;10;1;1;0;0;0;0;0;0;Matches
516;Bertrand Traoré\Bertrand-Traore;bf BFA;FWMF;Lyon;23;1995;13.7;3;2.4;+0.6;26;428;571;75.0;10;20;50.0;323;387;83.5;95;164;57.9;491;48;22;1;35;10;24;22;9;Matches
