"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
574;Martin Terrier\Martin-Terrier;fr FRA;FWMF;Lyon;22;1997;22;1168;53;48.1;13.0;13;76;9;19;3;1.41;16;12;+4;+0.31;-0.55;16.7;11.8;+4.9;+0.38;-0.03;Matches
575;Kenny Tete\Kenny-Tete;nl NED;DF;Lyon;23;1995;18;1063;59;43.7;11.8;9;85;9;33;4;1.06;15;14;+1;+0.08;-0.90;14.6;10.5;+4.1;+0.35;-0.08;Matches
576;Florian Thauvin\Florian-Thauvin;fr FRA;FW;Marseille;26;1993;2;20;10;0.8;0.2;0;;2;10;0;2.00;0;2;-2;-9.00;-9.50;0.3;2.0;-1.7;-7.55;-7.73;Matches
577;Sada Thioub\Sada-Thioub;sn SEN;MFFW;Angers;24;1995;22;1424;65;58.6;15.8;14;86;8;27;1;1.23;15;17;-2;-0.13;+0.32;15.7;19.2;-3.4;-0.22;-0.49;Matches
578;Romain Thomas\Romain-Thomas;fr FRA;DF;Angers;31;1988;26;2252;87;92.7;25.0;26;87;0;;1;1.38;25;31;-6;-0.24;+0.27;25.0;28.2;-3.3;-0.13;-1.58;Matches
579;Adrien Thomasson\Adrien-Thomasson;fr FRA;MF;Strasbourg;25;1993;25;2082;83;85.7;23.1;24;86;1;18;0;1.52;28;25;+3;+0.13;+0.91;29.6;25.2;+4.5;+0.19;+0.26;Matches
580;Khéphren Thuram-Ulie\Khephren-Thuram-Ulie;fr FRA;MF;Nice;18;2001;14;588;42;24.2;6.5;7;75;7;9;5;1.64;9;7;+2;+0.31;+0.31;7.7;9.7;-1.9;-0.30;-0.03;Matches
581;Cheick Timite\Cheick-Timite;ci CIV;MFFW;Amiens;21;1997;3;116;39;4.6;1.3;2;54;1;8;1;0.00;0;1;-1;-0.78;-0.10;0.6;2.0;-1.4;-1.08;-0.77;Matches
582;Karl Toko Ekambi\Karl-Toko-Ekambi;cm CMR;FW;Lyon;26;1992;7;448;64;18.4;5.0;4;83;3;39;0;1.57;8;4;+4;+0.80;+0.26;6.4;4.2;+2.1;+0.43;+0.05;Matches
583;Abdoulaye Touré\Abdoulaye-Toure;fr FRA;MF;Nantes;25;1994;26;2130;82;87.7;23.7;23;89;3;29;0;1.42;23;22;+1;+0.04;+0.64;24.0;25.4;-1.5;-0.06;+1.52;Matches
584;Lucas Tousart\Lucas-Tousart;fr FRA;MF;Lyon;22;1997;23;1682;73;69.2;18.7;18;87;5;23;2;1.57;30;20;+10;+0.54;-0.19;24.0;16.5;+7.5;+0.40;+0.02;Matches
