"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
104;Souleymane Camara\Souleymane-Camara;sn SEN;FWMF;Montpellier;36;1982;1.7;0;0;0;3;2;0;66.7;1.80;1.20;0.00;0.00;0.5;0.5;0.16;-0.5;-0.5;Matches
105;Eduardo Camavinga\Eduardo-Camavinga;fr FRA;MF;Rennes;16;2002;22.5;1;0;0;16;4;0;25.0;0.71;0.18;0.06;0.25;1.1;1.1;0.07;-0.1;-0.1;Matches
106;Pierrick Capelle\Pierrick-Capelle;fr FRA;MFDF;Angers;32;1987;19.4;1;0;0;35;11;0;31.4;1.80;0.57;0.03;0.09;2.2;2.2;0.06;-1.2;-1.2;Matches
107;Maxence Caqueret\Maxence-Caqueret;fr FRA;MF;Lyon;19;2000;6.2;0;0;0;4;2;0;50.0;0.64;0.32;0.00;0.00;0.2;0.2;0.05;-0.2;-0.2;Matches
108;Irvin Cardona\Irvin-Cardona;fr FRA;FWMF;Brest;21;1997;15.9;6;0;0;50;14;0;28.0;3.15;0.88;0.12;0.43;6.6;6.6;0.13;-0.6;-0.6;Matches
109;Lionel Carole\Lionel-Carole;fr FRA;DF;Strasbourg;28;1991;14.1;0;0;0;5;0;0;0.0;0.35;0.00;0.00;;0.2;0.2;0.03;-0.2;-0.2;Matches
110;Matis Carvalho\Matis-Carvalho;pt POR;GK;Montpellier;20;1999;0.8;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
111;Moreto Cassamã\Moreto-Cassama;gw GNB;MF;Reims;21;1998;5.6;0;0;0;2;0;0;0.0;0.36;0.00;0.00;;0.1;0.1;0.03;-0.1;-0.1;Matches
112;Jean-Charles Castelletto\Jean-Charles-Castelletto;cm CMR;DF;Brest;24;1995;20.4;1;0;0;3;1;0;33.3;0.15;0.05;0.33;1.00;0.4;0.4;0.15;+0.6;+0.6;Matches
113;Edinson Cavani\Edinson-Cavani;uy URU;FW;Paris S-G;32;1987;6.7;4;1;1;28;10;1;35.7;4.19;1.50;0.11;0.30;7.9;7.2;0.26;-3.9;-4.2;Matches
114;Zeki Çelik\Zeki-Celik;tr TUR;DF;Lille;22;1997;22.0;0;0;0;4;1;0;25.0;0.18;0.05;0.00;0.00;0.2;0.2;0.04;-0.2;-0.2;Matches
115;Fabien Centonze\Fabien-Centonze;fr FRA;DF;Metz;23;1996;27.0;0;0;0;8;3;0;37.5;0.30;0.11;0.00;0.00;0.3;0.3;0.04;-0.3;-0.3;Matches
116;Florian Chabrolle\Florian-Chabrolle;fr FRA;MF;Marseille;21;1998;0.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
117;Fouad Chafik\Fouad-Chafik;ma MAR;DF;Dijon;32;1986;16.0;0;0;0;7;0;0;0.0;0.44;0.00;0.00;;0.2;0.2;0.03;-0.2;-0.2;Matches
118;Gaëtan Charbonnier\Gaetan-Charbonnier;fr FRA;FWMF;Brest;30;1988;22.7;4;0;2;48;14;0;29.2;2.11;0.62;0.08;0.29;6.5;4.9;0.10;-2.5;-0.9;Matches
119;Brendan Chardonnet\Brendan-Chardonnet;fr FRA;DF;Brest;24;1994;8.1;0;0;0;2;0;0;0.0;0.25;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
120;Xavier Chavalerin\Xavier-Chavalerin;fr FRA;MF;Reims;28;1991;23.9;1;0;0;19;3;0;15.8;0.80;0.13;0.05;0.33;0.7;0.7;0.04;+0.3;+0.3;Matches
121;Aurélien Chedjou\Aurelien-Chedjou;cm CMR;DF;Amiens;34;1985;21.9;0;0;0;8;2;0;25.0;0.37;0.09;0.00;0.00;0.5;0.5;0.07;-0.5;-0.5;Matches
122;Rayan Cherki\Rayan-Cherki;fr FRA;MFFW;Lyon;15;2003;1.5;0;0;0;3;2;0;66.7;1.94;1.29;0.00;0.00;0.2;0.2;0.05;-0.2;-0.2;Matches
123;Joris Chotard\Joris-Chotard;fr FRA;MF;Montpellier;17;2001;13.9;0;0;0;11;2;0;18.2;0.79;0.14;0.00;0.00;0.3;0.3;0.03;-0.3;-0.3;Matches
