"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
372;Pablo Rosario\Pablo-Rosario;nl NED;MF;PSV Eindhoven;22;1997;24.1;2;0;0;19;6;;31.6;0.79;0.25;0.11;0.33;Matches
373;Nils Röseler\Nils-Roseler;de GER;DF;VVV-Venlo;27;1992;23.4;0;0;0;7;1;;14.3;0.30;0.04;0.00;0.00;Matches
374;Maximilian Rossmann\Maximilian-Rossmann;de GER;DF;Heracles Almelo;24;1995;3.3;2;0;0;3;2;;66.7;0.90;0.60;0.67;1.00;Matches
375;Llazaros Rota\Llazaros-Rota;al ALB;DF;Fortuna Sittard;21;1997;4.6;0;0;0;1;0;;0.0;0.22;0.00;0.00;;Matches
376;Robbin Ruiter\Robbin-Ruiter;nl NED;GK;PSV Eindhoven;32;1987;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
377;Dries Saddiki\Dries-Saddiki;nl NED;MF;Willem II;22;1996;22.6;0;0;0;13;0;;0.0;0.57;0.00;0.00;;Matches
378;Michal Sadílek\Michal-Sadilek;cz CZE;DF;PSV Eindhoven;20;1999;12.2;1;0;0;6;3;;50.0;0.49;0.25;0.17;0.33;Matches
379;Görkem Sağlam\Gorkem-Saglam;de GER;MF;Willem II;21;1998;1.0;0;0;0;1;0;;0.0;0.98;0.00;0.00;;Matches
380;Trent Sainsbury\Trent-Sainsbury;au AUS;DF;PSV Eindhoven;27;1992;1.0;0;0;0;1;0;;0.0;1.00;0.00;0.00;;Matches
381;Bassala Sambou\Bassala-Sambou;eng ENG;FW;Fortuna Sittard;21;1997;13.3;2;0;0;21;8;;38.1;1.58;0.60;0.10;0.25;Matches
382;Lamine Sané\Lamine-Sane;sn SEN;DFMF;Utrecht;32;1987;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
383;Mustafa Saymak\Mustafa-Saymak;nl NED;MFFW;Zwolle;26;1993;9.5;3;0;0;21;7;;33.3;2.22;0.74;0.14;0.43;Matches
384;Steffen Schäfer\Steffen-Schafer;de GER;DF;VVV-Venlo;25;1994;7.5;0;0;0;0;0;;;0.00;0.00;;;Matches
385;Samuel Scheimann\Samuel-Scheimann;il ISR;DF;VVV-Venlo;31;1987;3.5;0;0;0;1;0;;0.0;0.28;0.00;0.00;;Matches
386;Xandro Schenk\Xandro-Schenk;nl NED;DF;Twente;26;1993;21.1;0;0;0;10;1;;10.0;0.47;0.05;0.00;0.00;Matches
387;Lucas Schoofs\Lucas-Schoofs;be BEL;DF;Heracles Almelo;22;1997;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
388;Sam Schreck\Sam-Schreck;de GER;MF;Groningen;20;1999;4.5;0;0;0;3;0;;0.0;0.66;0.00;0.00;;Matches
389;Perr Schuurs\Perr-Schuurs;nl NED;DF;Ajax;19;1999;8.1;1;0;0;12;5;;41.7;1.48;0.61;0.08;0.20;Matches
390;Daniel Schwaab\Daniel-Schwaab;de GER;DF;PSV Eindhoven;30;1988;15.9;1;0;0;6;2;;33.3;0.38;0.13;0.17;0.50;Matches
391;Lindon Selahi\Lindon-Selahi;al ALB;MF;Twente;20;1999;19.8;2;0;0;14;3;;21.4;0.71;0.15;0.14;0.67;Matches
392;Marcos Senesi\Marcos-Senesi;ar ARG;DF;Feyenoord;22;1997;14.5;1;0;0;8;2;;25.0;0.55;0.14;0.13;0.50;Matches
393;Thulani Serero\Thulani-Serero;za RSA;MF;Vitesse;29;1990;2.4;0;0;0;0;0;;;0.00;0.00;;;Matches
394;Dylan Seys\Dylan-Seys;be BEL;FW;RKC Waalwijk;22;1996;0.7;0;0;0;2;0;;0.0;3.00;0.00;0.00;;Matches
395;Kaj Sierhuis\Kaj-Sierhuis;nl NED;FW;Groningen;21;1998;11.6;6;0;1;30;14;;46.7;2.58;1.20;0.20;0.43;Matches
396;Jerome Sinclair\Jerome-Sinclair;eng ENG;FW;VVV-Venlo;22;1996;11.6;0;0;0;18;5;;27.8;1.56;0.43;0.00;0.00;Matches
397;Luis Sinisterra\Luis-Sinisterra;co COL;FW;Feyenoord;20;1999;18.1;5;0;0;36;16;;44.4;1.99;0.89;0.14;0.31;Matches
398;Luciano Slagveer\Luciano-Slagveer;nl NED;MFFW;Emmen;25;1993;5.9;2;0;0;9;4;;44.4;1.53;0.68;0.22;0.50;Matches
399;Kian Slor\Kian-Slor;nl NED;FW;Groningen;17;2002;0.3;0;0;0;1;0;;0.0;3.60;0.00;0.00;;Matches
400;Bryan Smeets\Bryan-Smeets;nl NED;FWMF;Sparta R'dam;26;1992;19.7;4;0;1;36;10;;27.8;1.82;0.51;0.11;0.40;Matches
401;Jorrit Smeets\Jorrit-Smeets;nl NED;MF;Fortuna Sittard;24;1995;22.0;0;0;0;16;5;;31.3;0.73;0.23;0.00;0.00;Matches
402;Rein Smit\Rein-Smit;nl NED;FW;Heerenveen;18;2001;0.1;0;0;0;1;0;;0.0;8.18;0.00;0.00;;Matches
403;Leon Sopic\Leon-Sopic;hr CRO;FW;Emmen;18;2000;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
404;Elia Soriano\Elia-Soriano;it ITA;FW;VVV-Venlo;30;1989;12.0;2;0;0;21;10;;47.6;1.75;0.83;0.10;0.20;Matches
405;Sylla Sow\Sylla-Sow;nl NED;FW;RKC Waalwijk;22;1996;13.8;4;0;0;22;11;;50.0;1.60;0.80;0.18;0.36;Matches
406;Jordan Spence\Jordan-Spence;eng ENG;DF;ADO Den Haag;29;1990;2.8;0;0;0;0;0;;;0.00;0.00;;;Matches
407;Stijn Spierings\Stijn-Spierings;nl NED;MF;RKC Waalwijk;23;1996;16.9;3;0;0;32;11;;34.4;1.89;0.65;0.09;0.27;Matches
408;Fabian Sporkslede\Fabian-Sporkslede;nl NED;DF;RKC Waalwijk;25;1993;6.0;0;0;0;2;0;;0.0;0.33;0.00;0.00;;Matches
409;Tommy St. Jago\Tommy-St-Jago;nl NED;DF;Utrecht;19;2000;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
410;Jerry St. Juste\Jerry-St-Juste;nl NED;DF;Feyenoord;22;1996;1.0;0;0;0;0;0;;;0.00;0.00;;;Matches
411;Calvin Stengs\Calvin-Stengs;nl NED;FWMF;AZ Alkmaar;20;1998;23.0;5;0;0;60;18;;30.0;2.61;0.78;0.08;0.28;Matches
412;Sander van de Streek\Sander-van-de-Streek;nl NED;FWMF;Utrecht;26;1993;18.7;4;0;0;35;13;;37.1;1.87;0.70;0.11;0.31;Matches
413;Rico Strieder\Rico-Strieder;de GER;MF;Zwolle;27;1992;5.2;0;0;0;1;0;;0.0;0.19;0.00;0.00;;Matches
414;Rico Strieder\Rico-Strieder;de GER;MF;Utrecht;27;1992;1.8;0;0;0;2;0;;0.0;1.13;0.00;0.00;;Matches
415;Sam Stubbs\Sam-Stubbs;eng ENG;DF;ADO Den Haag;20;1998;7.0;0;0;0;2;1;;50.0;0.29;0.14;0.00;0.00;Matches
416;Yukinari Sugawara\Yukinari-Sugawara;jp JPN;FWDF;AZ Alkmaar;19;2000;7.1;2;0;0;15;6;;40.0;2.12;0.85;0.13;0.33;Matches
417;Crysencio Summerville\Crysencio-Summerville;nl NED;FW;ADO Den Haag;17;2001;15.8;2;0;0;16;9;;56.3;1.01;0.57;0.13;0.22;Matches
418;Tomáš Suslov\Tomas-Suslov;sk SVK;FW;Groningen;17;2002;0.0;0;0;0;0;0;;;0.00;0.00;;;Matches
419;Jonas Svensson\Jonas-Svensson;no NOR;DF;AZ Alkmaar;26;1993;21.5;1;0;0;11;1;;9.1;0.51;0.05;0.09;1.00;Matches
420;Adrian Szöke\Adrian-Szoke;rs SRB;MF;Heracles Almelo;21;1998;1.9;0;0;0;0;0;;;0.00;0.00;;;Matches
421;Dušan Tadić\Dusan-Tadic;rs SRB;FW;Ajax;30;1988;23.1;9;3;3;60;23;;38.3;2.59;0.99;0.10;0.26;Matches
422;Nicolás Tagliafico\Nicolas-Tagliafico;ar ARG;DF;Ajax;26;1992;21.8;3;0;0;37;11;;29.7;1.70;0.50;0.08;0.27;Matches
423;Anas Tahiri\Anas-Tahiri;be BEL;MFFW;RKC Waalwijk;24;1995;13.2;2;0;0;21;7;;33.3;1.59;0.53;0.10;0.29;Matches
424;Oussama Tannane\Oussama-Tannane;ma MAR;MFFW;Vitesse;25;1994;15.0;5;2;2;40;13;;32.5;2.67;0.87;0.08;0.23;Matches
425;Renato Tapia\Renato-Tapia;pe PER;MF;Feyenoord;24;1995;8.4;0;0;0;12;2;;16.7;1.44;0.24;0.00;0.00;Matches
426;Mike te Wierik\Mike-te-Wierik;nl NED;DF;Groningen;27;1992;21.4;1;0;0;6;2;;33.3;0.28;0.09;0.17;0.50;Matches
427;Tesfaldet Tekie\Tesfaldet-Tekie;se SWE;MF;Fortuna Sittard;22;1997;18.5;0;0;0;22;10;;45.5;1.19;0.54;0.00;0.00;Matches
428;Dennis Telgenkamp\Dennis-Telgenkamp;nl NED;GK;Emmen;32;1987;25.0;0;0;0;1;0;;0.0;0.04;0.00;0.00;;Matches
429;Jordan Teze\Jordan-Teze;nl NED;DF;PSV Eindhoven;19;1999;1.5;0;0;0;0;0;;;0.00;0.00;;;Matches
430;George Thomas\George-Thomas;wal WAL;MFFW;ADO Den Haag;22;1997;2.0;0;0;0;0;0;;;0.00;0.00;;;Matches
431;Ryan Thomas\Ryan-Thomas;nz NZL;MF;PSV Eindhoven;24;1994;7.9;2;0;0;11;4;;36.4;1.40;0.51;0.18;0.50;Matches
432;Lennart Thy\Lennart-Thy;de GER;FWMF;Zwolle;27;1992;18.6;6;2;2;39;20;;51.3;2.10;1.08;0.10;0.20;Matches
433;Jens Toornstra\Jens-Toornstra;nl NED;MF;Feyenoord;30;1989;18.1;4;0;0;22;9;;40.9;1.22;0.50;0.18;0.44;Matches
434;Sondre Tronstad\Sondre-Tronstad;no NOR;MF;Vitesse;23;1995;4.2;0;0;0;2;0;;0.0;0.48;0.00;0.00;;Matches
435;Giovanni Troupée\Giovanni-Troupee;nl NED;DF;Twente;21;1998;7.0;0;0;0;3;0;;0.0;0.43;0.00;0.00;;Matches
436;Giovanni Troupée\Giovanni-Troupee;nl NED;DF;Utrecht;21;1998;0.6;0;0;0;0;0;;;0.00;0.00;;;Matches
437;Filip Ugrinic\Filip-Ugrinic;ch SUI;MF;Emmen;20;1999;6.6;0;0;0;10;5;;50.0;1.51;0.75;0.00;0.00;Matches
