"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
122;Mark Diemers\Mark-Diemers;nl NED;MFFW;Fortuna Sittard;25;1993;26;26;2326;7;4;3;4;3;0;0.27;0.15;0.43;0.15;0.31;Matches
123;Stan van Dijck\Stan-van-Dijck;nl NED;DF;VVV-Venlo;18;2000;3;0;10;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
124;Ritsu Doan\Ritsu-Doan;jp JPN;FW;PSV Eindhoven;21;1998;18;11;933;2;1;0;0;1;0;0.19;0.10;0.29;0.19;0.29;Matches
125;Ritsu Doan\Ritsu-Doan;jp JPN;MF;Groningen;21;1998;2;2;180;1;0;0;0;0;0;0.50;0.00;0.50;0.50;0.50;Matches
126;Danilho Doekhi\Danilho-Doekhi;nl NED;DF;Vitesse;21;1998;25;25;2250;0;1;0;0;2;0;0.00;0.04;0.04;0.00;0.04;Matches
127;Kasper Dolberg\Kasper-Dolberg;dk DEN;FW;Ajax;21;1997;1;1;82;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
128;Jacky Donkor\Jacky-Donkor;be BEL;FW;Fortuna Sittard;20;1998;1;0;13;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
129;Dabney dos Santos\Dabney-dos-Santos;nl NED;MFFW;Heracles Almelo;23;1996;18;9;767;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
130;Marc-Olivier Doué\Marc-Olivier-Doue;fr FRA;MF;Zwolle;18;2000;1;0;2;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
131;Ibrahim Drešević\Ibrahim-Dresevic;xk KVX;DF;Heerenveen;22;1997;25;25;2250;2;1;0;0;4;0;0.08;0.04;0.12;0.08;0.12;Matches
132;Anders Dreyer\Anders-Dreyer;dk DEN;FW;Heerenveen;21;1998;11;1;222;1;2;0;0;0;0;0.41;0.81;1.22;0.41;1.22;Matches
133;Joel Drommel\Joel-Drommel;nl NED;GK;Twente;22;1996;24;24;2087;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;Matches
134;Henrico Drost\Henrico-Drost;nl NED;DF;RKC Waalwijk;32;1987;3;3;225;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
135;Ferdy Druijf\Ferdy-Druijf;nl NED;FW;AZ Alkmaar;21;1998;11;1;208;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
136;Deroy Duarte\Deroy-Duarte;nl NED;FW;Sparta R'dam;20;1999;13;2;392;0;1;0;0;2;0;0.00;0.23;0.23;0.00;0.23;Matches
137;Laros Duarte\Laros-Duarte;nl NED;MF;Sparta R'dam;22;1997;15;4;618;0;1;0;0;1;0;0.00;0.15;0.15;0.00;0.15;Matches
138;Mark Duffy\Mark-Duffy;eng ENG;MF;ADO Den Haag;33;1985;4;2;163;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
