id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
139;Akaki Gogia\Akaki-Gogia;de GER;MFFW;Union Berlin;27;1992;1.3;0;0;0;2;3;0;2;1;1;0;0;0;7;4;1;80.0;Matches
140;Benjamin Goller\Benjamin-Goller;de GER;FWMF;Werder Bremen;20;1999;3.1;0;0;0;4;5;0;4;1;6;0;0;0;23;3;7;30.0;Matches
141;Jérôme Gondorf\Jerome-Gondorf;de GER;MF;Freiburg;31;1988;1.4;1;0;0;4;2;0;0;1;5;0;0;0;13;2;2;50.0;Matches
142;Leon Goretzka\Leon-Goretzka;de GER;MF;Bayern Munich;24;1995;8.3;2;0;0;12;11;0;4;6;8;1;0;0;77;9;18;33.3;Matches
143;Mario Götze\Mario-Gotze;de GER;FW;Dortmund;27;1992;5.6;0;0;0;5;11;4;7;2;8;0;0;0;26;2;9;18.2;Matches
144;Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw;nl NED;DF;Augsburg;28;1991;14.1;4;0;0;10;2;1;1;31;17;0;0;0;137;22;19;53.7;Matches
145;Michael Gregoritsch\Michael-Gregoritsch;at AUT;MFFW;Augsburg;25;1994;3.4;0;0;0;3;3;1;1;3;3;0;0;0;19;6;7;46.2;Matches
146;Michael Gregoritsch\Michael-Gregoritsch;at AUT;FW;Schalke 04;25;1994;5.1;0;0;0;3;3;1;0;0;3;0;0;0;17;18;17;51.4;Matches
147;Vincenzo Grifo\Vincenzo-Grifo;it ITA;MF;Hoffenheim;26;1993;0.2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0.0;Matches
148;Vincenzo Grifo\Vincenzo-Grifo;it ITA;MFFW;Freiburg;26;1993;9.7;1;1;0;5;9;5;62;8;5;0;0;0;86;7;12;36.8;Matches
149;Florian Grillitsch\Florian-Grillitsch;at AUT;MF;Hoffenheim;23;1995;20.4;1;0;0;18;32;0;12;38;36;0;0;0;257;23;23;50.0;Matches
150;Christian Groß\Christian-Gross;de GER;DF;Werder Bremen;30;1989;8.1;2;0;0;13;7;0;1;15;7;0;0;0;66;9;13;40.9;Matches
151;Carlos Gruezo\Carlos-Gruezo;ec ECU;MF;Augsburg;24;1995;2.8;0;0;0;3;1;0;0;1;7;0;0;0;25;1;1;50.0;Matches
152;Marko Grujić\Marko-Grujic;rs SRB;MF;Hertha BSC;23;1996;18.5;5;0;0;42;21;0;5;17;18;0;1;0;175;64;35;64.6;Matches
153;Raphaël Guerreiro\Raphael-Guerreiro;pt POR;DF;Dortmund;25;1993;17.8;2;0;0;9;12;0;55;31;19;0;0;0;194;9;15;37.5;Matches
154;Babacar Guèye\Babacar-Gueye;sn SEN;FW;Paderborn 07;24;1994;1.2;0;0;0;4;1;1;0;0;0;0;0;0;3;1;2;33.3;Matches
155;Josuha Guilavogui\Josuha-Guilavogui;fr FRA;MFDF;Wolfsburg;28;1990;21.9;4;0;0;38;14;5;6;42;28;0;1;0;289;59;31;65.6;Matches
156;Péter Gulácsi\Peter-Gulacsi;hu HUN;GK;RB Leipzig;29;1990;24.0;0;0;0;1;1;0;0;0;0;0;0;0;164;0;0;;Matches
157;Manuel Gulde\Manuel-Gulde;de GER;DF;Freiburg;28;1991;12.0;0;0;0;6;8;0;10;19;17;0;0;0;114;30;25;54.5;Matches
158;Christian Günter\Christian-Gunter;de GER;DF;Freiburg;26;1993;24.9;2;0;0;15;17;2;212;9;16;1;0;0;139;8;25;24.2;Matches
159;Jonathan de Guzmán\Jonathan-de-Guzman;nl NED;MF;Eint Frankfurt;31;1987;0.1;0;0;0;0;0;0;1;1;0;0;0;0;6;0;0;;Matches
160;Janik Haberer\Janik-Haberer;de GER;MFFW;Freiburg;25;1994;17.9;5;1;1;29;36;0;12;24;22;0;0;0;218;30;53;36.1;Matches
