id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
49;Thomas Basila\Thomas-Basila;fr FRA;DF;Nantes;20;1999;4.6;1;0;0;3;2;0;6;1;4;0;0;0;1;1;100.0;1;0;6;7;85.7;1;Matches
50;Gil Bastião Dias\Gil-Bastiao-Dias;pt POR;DFMF;Monaco;22;1996;11.7;3;0;0;13;15;2;21;33;14;0;0;0;28;43;65.1;30;0;56;91;61.5;35;Matches
51;Cristian Battocchio\Cristian-Battocchio;it ITA;MF;Brest;27;1992;14.4;1;0;0;8;6;0;40;25;19;1;0;0;8;11;72.7;8;1;31;59;52.5;28;Matches
52;Gaëtan Belaud\Gaetan-Belaud;fr FRA;DF;Brest;32;1986;5.5;0;0;0;5;4;0;11;8;10;0;0;0;3;7;42.9;5;0;13;19;68.4;6;Matches
53;Haris Belkebla\Haris-Belkebla;dz ALG;MF;Brest;25;1994;19.2;3;0;0;28;30;1;4;40;53;0;0;0;23;31;74.2;24;0;54;77;70.1;23;Matches
54;Raoul Bellanova\Raoul-Bellanova;it ITA;DF;Bordeaux;19;2000;0.7;0;0;0;1;1;0;0;1;0;0;0;0;0;0;;0;0;2;3;66.7;1;Matches
55;Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde;fr FRA;MF;Strasbourg;21;1998;16.7;2;0;0;30;31;0;33;27;21;1;0;0;32;50;64.0;35;0;38;49;77.6;11;Matches
56;Sami Ben Amar\Sami-Ben-Amar;ma MAR;FW;Nîmes;21;1998;0.1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;0;0;1;1;100.0;0;Matches
57;Wissam Ben Yedder\Wissam-Ben-Yedder;fr FRA;FW;Monaco;28;1990;23.1;1;0;0;10;17;7;29;16;4;1;0;0;34;52;65.4;36;2;19;33;57.6;14;Matches
58;Diego Benaglio\Diego-Benaglio;ch SUI;GK;Monaco;35;1983;0.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
59;Cristian Benavente\Cristian-Benavente;pe PER;MFFW;Nantes;25;1994;3.8;0;0;0;5;4;0;4;8;2;0;0;0;4;10;40.0;4;0;12;18;66.7;6;Matches
60;Darío Benedetto\Dario-Benedetto;ar ARG;FW;Marseille;33;1986;23.5;4;0;0;26;29;6;6;14;3;1;0;0;21;30;70.0;22;1;16;34;47.1;18;Matches
61;Walter Benítez\Walter-Benitez;ar ARG;GK;Nice;26;1993;25.0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;0;0;0;2;0.0;2;Matches
62;Loris Benito\Loris-Benito;ch SUI;DF;Bordeaux;27;1992;20.1;5;0;0;36;7;1;44;23;27;0;0;1;8;16;50.0;10;1;39;64;60.9;25;Matches
63;Bilal Benkhedim\Bilal-Benkhedim;fr FRA;MFFW;Saint-Étienne;18;2001;1.4;0;0;0;2;3;0;8;5;1;0;0;0;1;3;33.3;1;0;6;9;66.7;3;Matches
64;Yassine Benrahou\Yassine-Benrahou;fr FRA;MFFW;Nîmes;20;1999;7.6;1;0;0;9;26;1;60;3;3;0;0;0;18;34;52.9;20;1;5;17;29.4;12;Matches
