"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
323;Rúben Neves\Ruben-Neves;pt POR;MF;Wolves;22;1997;25.3;1;1.3;-0.3;18;1101;1391;79.2;6;22;27.3;658;761;86.5;437;608;71.9;109;1188;31;3;9;5;136;18;2;Matches
324;Jeremy Ngakia\Jeremy-Ngakia;eng ENG;DF;West Ham;18;2000;4.0;0;0.0;0.0;0;67;119;56.3;0;3;0.0;57;81;70.4;10;35;28.6;13;54;0;0;0;41;0;1;1;Matches
325;Oumar Niasse\Oumar-Niasse;sn SEN;FW;Everton;29;1990;0.2;0;0.0;0.0;0;3;5;60.0;0;0;;3;4;75.0;0;1;0.0;1;3;0;0;0;0;0;0;0;Matches
326;Eddie Nketiah\Eddie-Nketiah;eng ENG;FW;Arsenal;20;1999;2.8;0;0.3;-0.3;2;44;56;78.6;0;3;0.0;40;49;81.6;4;4;100.0;6;45;0;0;0;0;1;0;0;Matches
327;Mark Noble\Mark-Noble;eng ENG;MF;West Ham;32;1987;23.9;1;1.3;-0.3;18;926;1151;80.5;15;47;31.9;647;757;85.5;264;347;76.1;84;1004;43;3;6;7;107;20;2;Matches
328;Oliver Norwood\Oliver-Norwood;nir NIR;MF;Sheffield Utd;28;1991;26.5;0;3.4;-3.4;41;1288;1667;77.3;17;38;44.7;844;944;89.4;427;685;62.3;63;1479;61;2;88;6;171;30;9;Matches
329;Ørjan Nyland\Orjan-Nyland;no NOR;GK;Aston Villa;28;1990;2.0;0;0.0;0.0;0;37;63;58.7;0;0;;14;14;100.0;23;49;46.9;6;46;6;0;0;0;0;0;0;Matches
330;Jack O'Connell\Jack-OConnell;eng ENG;DF;Sheffield Utd;25;1994;28.0;1;2.2;-1.2;9;987;1327;74.4;8;37;21.6;702;813;86.3;277;477;58.1;1098;50;24;2;0;49;81;21;3;Matches
331;Michael Obafemi\Michael-Obafemi;ie IRL;FW;Southampton;19;2000;5.4;0;0.7;-0.7;5;93;115;80.9;8;17;47.1;80;93;86.0;5;5;100.0;12;88;0;1;0;0;0;1;0;Matches
332;Angelo Ogbonna\Angelo-Ogbonna;it ITA;DF;West Ham;31;1988;24.0;0;0.0;0.0;1;555;715;77.6;3;12;25.0;373;429;86.9;179;274;65.3;443;162;14;0;0;0;36;1;0;Matches
333;Divock Origi\Divock-Origi;be BEL;FW;Liverpool;24;1995;5.7;1;0.1;+0.9;4;113;157;72.0;3;4;75.0;93;119;78.2;17;34;50.0;23;113;0;0;0;0;4;6;2;Matches
334;Ben Osborn\Ben-Osborn;eng ENG;DFMF;Sheffield Utd;24;1994;1.4;0;0.3;-0.3;2;50;69;72.5;2;5;40.0;38;43;88.4;10;21;47.6;51;9;0;1;0;8;3;1;0;Matches
335;Nicolás Otamendi\Nicolas-Otamendi;ar ARG;DF;Manchester City;31;1988;15.7;0;0.2;-0.2;3;1076;1156;93.1;5;13;38.5;710;745;95.3;361;398;90.7;77;1020;8;0;0;3;53;0;0;Matches
336;Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain;eng ENG;MFFW;Liverpool;25;1993;12.3;0;1.0;-1.0;14;447;566;79.0;9;25;36.0;327;385;84.9;111;156;71.2;72;456;1;3;0;6;60;23;3;Matches
337;Mesut Özil\Mesut-Ozil;de GER;MF;Arsenal;30;1988;16.1;2;2.3;-0.3;36;754;891;84.6;12;31;38.7;626;675;92.7;116;185;62.7;778;94;30;0;57;0;59;24;1;Matches
338;Emerson Palmieri\Emerson-Palmieri;it ITA;DF;Chelsea;24;1994;11.4;0;1.4;-1.4;18;704;850;82.8;13;24;54.2;608;685;88.8;83;141;58.9;662;43;11;2;21;100;27;8;5;Matches
339;Sokratis Papastathopoulos\Sokratis-Papastathopoulos;gr GRE;DF;Arsenal;31;1988;18.9;0;0.2;-0.2;1;873;973;89.7;8;15;53.3;582;608;95.7;283;350;80.9;34;893;31;0;0;10;27;1;0;Matches
340;Troy Parrott\Troy-Parrott;ie IRL;MF;Tottenham;17;2002;0.1;0;0.0;0.0;0;5;5;100.0;0;0;;5;5;100.0;0;0;;2;2;0;0;0;1;0;0;0;Matches
341;Rui Patrício\Rui-Patricio;pt POR;GK;Wolves;31;1988;29.0;0;0.0;0.0;0;416;656;63.4;1;1;100.0;119;121;98.3;296;534;55.4;353;144;53;0;0;0;4;0;0;Matches
342;Pedro\Pedro;es ESP;FW;Chelsea;32;1987;7.3;1;0.8;+0.2;18;255;326;78.2;6;18;33.3;212;250;84.8;37;58;63.8;100;208;1;3;1;1;8;12;1;Matches
343;Nicolas Pépé\Nicolas-Pepe;ci CIV;FW;Arsenal;24;1995;17.7;6;3.4;+2.6;33;518;683;75.8;10;37;27.0;431;492;87.6;77;154;50.0;582;67;9;2;55;6;19;20;3;Matches
344;Andreas Pereira\Andreas-Pereira;br BRA;MFFW;Manchester Utd;23;1996;16.1;3;3.6;-0.6;29;545;745;73.2;12;36;33.3;439;528;83.1;94;181;51.9;86;612;23;1;32;9;51;14;3;Matches
345;Ricardo Pereira\Ricardo-Pereira;pt POR;DF;Leicester City;25;1993;28.0;2;3.8;-1.8;27;1513;1875;80.7;14;66;21.2;1293;1479;87.4;206;330;62.4;195;1312;17;3;0;305;96;27;4;Matches
346;Roberto Pereyra\Roberto-Pereyra;ar ARG;FWMF;Watford;28;1991;14.7;0;1.7;-1.7;16;451;547;82.4;17;28;60.7;369;425;86.8;65;94;69.1;79;420;3;4;15;10;30;11;2;Matches
347;Ayoze Pérez\Ayoze-Perez;es ESP;MFFW;Leicester City;26;1993;17.7;4;3.0;+1.0;21;464;588;78.9;23;59;39.0;398;463;86.0;43;66;65.2;54;492;4;6;0;5;27;14;1;Matches
348;Jordan Pickford\Jordan-Pickford;eng ENG;GK;Everton;25;1994;29.0;0;0.0;0.0;0;649;1036;62.6;5;5;100.0;291;292;99.7;353;739;47.8;646;183;116;1;0;0;38;4;0;Matches
349;Brandon Pierrick\Brandon-Pierrick;eng ENG;DF;Crystal Palace;17;2001;0.1;0;0.1;-0.1;1;5;8;62.5;1;3;33.3;4;5;80.0;0;0;;0;8;0;0;0;0;0;1;0;Matches
350;Erik Pieters\Erik-Pieters;nl NED;DF;Burnley;30;1988;13.7;3;1.0;+2.0;9;485;657;73.8;8;28;28.6;391;459;85.2;86;170;50.6;429;34;10;0;0;152;30;9;5;Matches
351;Daniel Podence\Daniel-Podence;pt POR;MFFW;Wolves;23;1995;0.5;0;0.1;-0.1;1;16;20;80.0;1;2;50.0;14;15;93.3;1;3;33.3;2;16;0;0;0;0;2;1;0;Matches
352;Paul Pogba\Paul-Pogba;fr FRA;MF;Manchester Utd;26;1993;5.8;2;1.5;+0.5;15;381;458;83.2;6;17;35.3;282;319;88.4;93;122;76.2;62;373;15;5;0;1;43;15;0;Matches
353;Nick Pope\Nick-Pope;eng ENG;GK;Burnley;27;1992;29.0;0;0.6;-0.6;4;402;897;44.8;1;2;50.0;95;97;97.9;306;798;38.3;50;636;128;1;1;1;36;1;0;Matches
