id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
25;Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang;ga GAB;FW;Arsenal;30;1989;24.6;3;1;0;11;13;15;67;18;8;0;0;0;17;35;48.6;21;0;29;54;53.7;25;Matches
26;Serge Aurier\Serge-Aurier;ci CIV;DF;Tottenham;26;1992;21.1;3;1;1;29;10;4;96;43;31;0;2;1;43;64;67.2;43;7;76;100;76.0;24;Matches
27;Jordan Ayew\Jordan-Ayew;gh GHA;FWMF;Crystal Palace;27;1991;25.6;4;0;0;41;71;8;18;18;10;0;0;0;55;90;61.1;57;1;31;51;60.8;20;Matches
28;César Azpilicueta\Cesar-Azpilicueta;es ESP;DF;Chelsea;29;1989;25.9;0;0;0;31;8;3;80;47;48;0;0;0;12;18;66.7;14;0;74;99;74.7;25;Matches
29;Eric Bailly\Eric-Bailly;ci CIV;DF;Manchester Utd;25;1994;1.0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;100.0;1;0;0;1;0.0;1;Matches
30;Leighton Baines\Leighton-Baines;eng ENG;DF;Everton;34;1984;3.7;0;0;0;1;3;0;26;6;5;0;0;0;1;2;50.0;2;0;10;15;66.7;5;Matches
31;Fabián Balbuena\Fabian-Balbuena;py PAR;DF;West Ham;27;1991;12.0;2;0;0;6;1;0;1;11;24;0;0;0;0;0;;0;0;18;37;48.6;19;Matches
32;George Baldock\George-Baldock;eng ENG;DF;Sheffield Utd;26;1993;27.0;6;0;0;33;32;8;91;36;29;1;0;0;29;48;60.4;31;0;56;72;77.8;16;Matches
33;Phil Bardsley\Phil-Bardsley;sco SCO;DF;Burnley;34;1985;13.0;4;0;0;23;10;0;20;22;14;0;0;0;4;6;66.7;4;0;38;45;84.4;7;Matches
34;Ross Barkley\Ross-Barkley;eng ENG;MF;Chelsea;25;1993;6.5;0;0;0;5;5;0;7;5;6;0;0;0;12;17;70.6;12;0;9;18;50.0;9;Matches
