;;;;;;;;Touches;Touches;Touches;Touches;Touches;Touches;Touches;Dribbles;Dribbles;Dribbles;Dribbles;Dribbles;Carries;Carries;Carries;Receiving;Receiving;Receiving;;;
Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;#Pl;Megs;Carries;TotDist;PrgDist;Targ;Rec;Rec%;Miscon;Dispos;Matches
480;David Timor\David-Timor;es ESP;MF;Getafe;29;1989;3.5;162;9;27;92;47;2;149;1;1;100.0;1;0;62;277;113;70;63;90.0;2;0;Matches
481;Jean-Clair Todibo\Jean-Clair-Todibo;fr FRA;DF;Barcelona;19;1999;0.9;63;13;38;26;0;0;62;0;1;0.0;0;0;43;292;135;45;44;97.8;0;0;Matches
482;Karl Toko Ekambi\Karl-Toko-Ekambi;cm CMR;FW;Villarreal;26;1992;11.1;347;2;23;167;188;72;332;16;27;59.3;19;1;252;1995;1169;525;276;52.6;20;17;Matches
483;Raúl de Tomás\Raul-de-Tomas;es ESP;FW;Espanyol;24;1994;6.0;215;0;22;122;87;26;201;20;28;71.4;21;3;164;967;420;307;150;48.9;15;16;Matches
484;Toño\Tono;es ESP;DF;Levante;29;1989;13.0;791;49;314;352;192;16;659;15;25;60.0;16;1;476;3147;2222;516;449;87.0;14;15;Matches
485;Ferrán Torres\Ferran-Torres;es ESP;MFFW;Valencia;19;2000;19.7;804;17;136;356;400;53;786;46;78;59.0;50;2;646;4594;2789;800;605;75.6;35;37;Matches
486;Óliver Torres\Oliver-Torres;es ESP;FWMF;Sevilla;24;1994;12.4;796;8;112;477;255;30;776;19;26;73.1;19;1;620;3086;1617;696;598;85.9;20;26;Matches
487;Pau Torres\Pau-Torres;es ESP;DF;Villarreal;22;1997;23.0;1627;278;1005;687;30;11;1579;7;9;77.8;8;1;1089;6939;3993;1128;1109;98.3;2;9;Matches
488;Roberto Torres\Roberto-Torres;es ESP;MFFW;Osasuna;30;1989;23.0;1123;36;156;541;478;63;1004;22;36;61.1;24;3;696;3019;1614;907;708;78.1;32;25;Matches
489;Aleksandar Trajkovski\Aleksandar-Trajkovski;mk MKD;MF;Mallorca;26;1992;1.6;93;2;12;37;51;10;86;2;3;66.7;2;0;64;421;230;77;64;83.1;9;3;Matches
490;Manu Trigueros\Manu-Trigueros;es ESP;MF;Villarreal;27;1991;13.4;860;30;160;528;221;22;823;12;18;66.7;13;0;600;2693;1307;735;643;87.5;12;14;Matches
491;Kieran Trippier\Kieran-Trippier;eng ENG;DF;Atlético Madrid;28;1990;17.0;1147;51;277;516;399;16;893;13;19;68.4;13;1;617;2814;1471;662;596;90.0;11;7;Matches
492;Samuel Umtiti\Samuel-Umtiti;fr FRA;DF;Barcelona;25;1993;9.3;802;93;366;475;18;2;775;4;6;66.7;4;0;614;3747;2194;598;589;98.5;4;3;Matches
493;Enes Ünal\Enes-Unal;tr TUR;FW;Valladolid;22;1997;19.0;699;12;72;395;282;72;683;17;31;54.8;18;0;442;2647;1440;956;527;55.1;53;39;Matches
494;Tomáš Vaclík\Tomas-Vaclik;cz CZE;GK;Sevilla;30;1989;25.5;764;696;760;3;1;0;528;0;0;;0;0;347;1437;682;320;316;98.8;0;0;Matches
495;Álvaro Vadillo\Alvaro-Vadillo;es ESP;FWMF;Granada;24;1994;13.6;590;8;58;235;343;36;500;20;42;47.6;22;2;384;2583;1634;565;384;68.0;22;23;Matches
496;Germán Valera\German-Valera;es ESP;FW;Atlético Madrid;17;2002;0.0;3;0;1;1;1;1;3;0;0;;0;0;2;8;1;2;1;50.0;0;1;Matches
497;Martin Valjent\Martin-Valjent;sk SVK;DF;Mallorca;23;1995;27.0;1122;209;686;473;44;16;1064;6;8;75.0;6;0;566;4670;2350;588;575;97.8;4;4;Matches
498;Jesús Vallejo\Jesus-Vallejo;es ESP;DF;Granada;22;1997;2.0;103;12;54;54;3;2;99;0;0;;0;0;61;382;178;66;65;98.5;0;1;Matches
499;Manu Vallejo\Manu-Vallejo;es ESP;MFFW;Valencia;22;1997;3.5;117;3;9;56;65;15;114;4;6;66.7;4;0;82;605;402;138;85;61.6;15;6;Matches
500;Federico Valverde\Federico-Valverde;uy URU;MF;Real Madrid;21;1998;14.1;883;22;158;515;277;27;875;12;25;48.0;15;1;590;3865;2299;747;667;89.3;18;10;Matches
501;Raphaël Varane\Raphael-Varane;fr FRA;DF;Real Madrid;26;1993;23.0;1367;205;772;630;50;16;1322;7;10;70.0;8;0;817;5759;2429;926;905;97.7;6;4;Matches
502;Matías Vargas\Matias-Vargas;ar ARG;FWMF;Espanyol;21;1997;10.5;507;7;61;244;261;43;485;23;40;57.5;24;1;405;3057;1816;513;371;72.3;35;31;Matches
503;Franco Vázquez\Franco-Vazquez;ar ARG;MFFW;Sevilla;30;1989;9.9;623;12;110;353;200;32;613;17;21;81.0;18;1;438;2101;1031;551;442;80.2;14;25;Matches
504;Kevin Vázquez\Kevin-Vazquez;es ESP;DF;Celta Vigo;26;1993;8.2;548;23;166;286;118;5;459;8;12;66.7;8;0;318;1397;785;321;301;93.8;7;4;Matches
505;Lucas Vázquez\Lucas-Vazquez;es ESP;MFFW;Real Madrid;28;1991;7.1;503;6;76;224;224;31;494;13;20;65.0;14;0;369;1866;1089;474;384;81.0;24;16;Matches
506;Unai Vencedor Paris\Unai-Vencedor-Paris;es ESP;MF;Athletic Bilbao;18;2000;0.8;42;0;5;30;11;0;34;1;1;100.0;1;0;25;164;93;23;22;95.7;0;0;Matches
507;Mikel Vesga\Mikel-Vesga;es ESP;MF;Athletic Bilbao;26;1993;7.6;389;23;79;242;88;11;376;5;7;71.4;5;0;214;1272;594;242;220;90.9;5;7;Matches
508;Rúben Vezo\Ruben-Vezo;pt POR;DF;Levante;25;1994;19.0;968;194;556;416;25;13;913;2;3;66.7;2;1;467;2649;1163;508;502;98.8;5;1;Matches
509;Fede Vico\Fede-Vico;es ESP;MFFW;Granada;25;1994;4.5;201;2;20;92;108;7;188;7;13;53.8;8;0;155;1196;601;193;155;80.3;10;10;Matches
510;Aleix Vidal\Aleix-Vidal;es ESP;MF;Alavés;29;1989;22.2;998;18;136;534;418;43;869;21;47;44.7;26;3;611;4378;2367;896;636;71.0;38;18;Matches
511;Arturo Vidal\Arturo-Vidal;cl CHI;MFFW;Barcelona;32;1987;10.3;796;13;120;441;264;43;792;5;11;45.5;5;1;584;1864;926;742;645;86.9;17;6;Matches
512;Nacho Vidal\Nacho-Vidal;es ESP;DF;Osasuna;24;1995;17.3;1094;53;336;540;277;16;919;22;28;78.6;22;0;585;3259;1931;668;594;88.9;15;10;Matches
513;Dídac Vilà\Didac-Vila;es ESP;DF;Espanyol;30;1989;19.4;1104;59;313;612;256;18;928;8;15;53.3;9;1;562;3642;2067;623;540;86.7;13;11;Matches
514;Toni Villa\Toni-Villa;es ESP;MF;Valladolid;24;1995;12.3;594;11;95;325;247;32;587;35;81;43.2;39;3;500;3979;2922;514;417;81.1;27;33;Matches
515;Asier Villalibre\Asier-Villalibre;es ESP;FW;Athletic Bilbao;21;1997;3.8;111;1;2;53;63;13;110;3;7;42.9;3;0;72;452;254;195;92;47.2;10;9;Matches
516;Juan Villar\Juan-Villar;es ESP;FW;Osasuna;31;1988;2.6;115;1;11;62;49;12;108;1;1;100.0;1;0;68;281;110;152;88;57.9;8;7;Matches
517;Vitolo\Vitolo;es ESP;MFFW;Atlético Madrid;29;1989;11.5;622;10;73;321;291;55;611;33;60;55.0;35;0;490;3582;2117;637;469;73.6;35;22;Matches
518;Šime Vrsaljko\Sime-Vrsaljko;hr CRO;DF;Atlético Madrid;27;1992;4.0;212;12;65;104;57;5;182;0;0;;0;0;101;510;225;129;106;82.2;5;3;Matches
519;Nikola Vukčević\Nikola-Vukcevic;me MNE;MF;Levante;27;1991;12.0;480;25;154;320;41;5;471;4;4;100.0;4;0;260;1648;766;319;288;90.3;1;7;Matches
520;Moussa Wagué\Moussa-Wague;sn SEN;DF;Barcelona;20;1998;1.0;90;2;19;39;42;2;75;4;5;80.0;4;0;62;385;250;63;59;93.7;0;2;Matches
521;Wakaso\Wakaso;gh GHA;MF;Alavés;29;1990;14.3;672;26;157;446;112;4;646;24;36;66.7;25;0;419;2603;1160;423;379;89.6;10;15;Matches
522;Daniel Wass\Daniel-Wass;dk DEN;DFMF;Valencia;30;1989;24.1;1497;90;484;667;434;32;1312;10;17;58.8;10;0;838;4227;2308;1003;913;91.0;17;15;Matches
523;Iñaki Williams\Inaki-Williams;es ESP;FW;Athletic Bilbao;25;1994;24.5;784;22;78;346;434;98;772;37;62;59.7;40;1;602;4631;2777;1104;621;56.3;69;62;Matches
524;Yoel\Yoel;es ESP;GK;Eibar;30;1988;1.0;42;33;42;0;0;0;26;0;0;;0;0;11;109;62;7;7;100.0;0;0;Matches
525;Okay Yokuşlu\Okay-Yokuslu;tr TUR;MF;Celta Vigo;25;1994;15.2;901;62;261;602;89;5;881;18;27;66.7;19;0;572;3026;1340;571;541;94.7;9;18;Matches
526;Joseba Zaldúa\Joseba-Zaldua;es ESP;DF;Real Sociedad;27;1992;22.8;1542;74;470;744;414;21;1282;12;27;44.4;12;0;825;4460;2649;898;830;92.4;10;19;Matches
527;Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa;cm CMR;MF;Villarreal;23;1995;18.7;1241;49;257;783;287;30;1223;56;65;86.2;57;1;883;5683;2765;953;830;87.1;34;28;Matches
528;Igor Zubeldia\Igor-Zubeldia;es ESP;MFDF;Real Sociedad;22;1997;22.3;1500;183;673;881;60;4;1485;18;21;85.7;18;0;1100;6517;3542;1067;1050;98.4;7;13;Matches
529;David Zurutuza\David-Zurutuza;es ESP;MF;Real Sociedad;33;1986;1.0;69;3;23;40;13;0;68;1;2;50.0;1;0;40;202;94;57;47;82.5;0;2;Matches
530;Martin Ødegaard\Martin-Odegaard;no NOR;MF;Real Sociedad;20;1998;22.4;1553;11;156;899;637;67;1411;56;79;70.9;58;1;1209;8233;4586;1268;1131;89.2;34;46;Matches
