id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
104;Samuel Chukwueze\Samuel-Chukwueze;ng NGA;MFFW;Villarreal;20;1999;15.6;1;0;0;9;32;10;29;4;12;2;0;0;103;9;15;37.5;Matches
105;Jasper Cillessen\Jasper-Cillessen;nl NED;GK;Valencia;30;1989;15.3;1;0;0;0;2;0;0;2;0;0;0;0;78;0;0;;Matches
106;Óscar Clemente\Oscar-Clemente;es ESP;MF;Atlético Madrid;20;1999;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Matches
107;Carlos Clerc\Carlos-Clerc;es ESP;DF;Levante;27;1992;14.0;4;0;0;16;13;1;42;17;10;0;0;0;110;14;16;46.7;Matches
108;Coke\Coke;es ESP;DF;Levante;32;1987;6.6;2;0;0;10;10;0;13;6;8;0;0;0;60;8;5;61.5;Matches
109;Álex Collado\Alex-Collado;es ESP;DF;Barcelona;20;1999;0.1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;100.0;Matches
110;Francis Coquelin\Francis-Coquelin;fr FRA;MF;Valencia;28;1991;16.5;7;1;1;23;24;1;1;35;18;1;0;0;154;13;7;65.0;Matches
111;Sébastien Corchia\Sebastien-Corchia;fr FRA;DF;Espanyol;28;1990;3.0;1;0;0;4;5;0;25;5;0;0;0;0;12;0;0;;Matches
112;Iñigo Córdoba\Inigo-Cordoba;es ESP;FW;Athletic Bilbao;22;1997;9.6;4;0;0;19;12;4;23;6;8;0;0;0;70;9;10;47.4;Matches
113;Ángel Correa\Angel-Correa;ar ARG;MFFW;Atlético Madrid;24;1995;16.6;5;0;0;19;28;7;26;9;10;0;0;0;105;11;23;32.4;Matches
114;Rober Correa\Rober-Correa;es ESP;DF;Eibar;26;1992;3.9;0;0;0;6;5;0;11;3;4;0;0;0;46;13;13;50.0;Matches
