"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
268;Roger Ibanez\Roger-Ibanez;br BRA;DF;it Atalanta;20;1998;0.2;0;0.0;0.0;0;6;9;66.7;0;0;;5;7;71.4;1;2;50.0;3;6;0;0;0;0;0;0;0;Matches
269;Mauro Icardi\Mauro-Icardi;ar ARG;FW;fr Paris S-G;26;1993;4.5;0;0.1;-0.1;2;47;70;67.1;1;5;20.0;45;58;77.6;1;7;14.3;8;50;1;0;0;0;1;0;0;Matches
270;Brian Idowu\Brian-Idowu;ng NGA;DF;ru Loko Moscow;27;1992;2.6;0;0.0;0.0;0;71;102;69.6;2;9;22.2;54;66;81.8;15;27;55.6;24;54;5;0;0;17;9;0;0;Matches
271;Vladislav Ignatyev\Vladislav-Ignatyev;ru RUS;DFMF;ru Loko Moscow;32;1987;4.9;0;0.1;-0.1;3;145;191;75.9;8;13;61.5;115;135;85.2;22;43;51.2;29;110;2;0;0;34;13;2;1;Matches
272;Jonathan Ikone\Jonathan-Ikone;fr FRA;MFFW;fr Lille;21;1998;2.7;0;0.6;-0.6;9;61;78;78.2;2;4;50.0;49;60;81.7;10;14;71.4;68;7;0;1;0;0;13;5;0;Matches
273;Josip Iličić\Josip-Ilicic;si SVN;FWMF;it Atalanta;31;1988;4.7;0;1.4;-1.4;9;168;207;81.2;5;11;45.5;136;152;89.5;27;44;61.4;162;40;6;4;4;1;12;11;1;Matches
274;Selçuk İnan\Selcuk-Inan;tr TUR;MFFW;tr Galatasaray;34;1985;0.7;0;0.0;0.0;0;24;31;77.4;0;1;0.0;21;24;87.5;3;6;50.0;3;28;0;0;1;0;3;0;0;Matches
275;Lorenzo Insigne\Lorenzo-Insigne;it ITA;MF;it Napoli;28;1991;3.0;1;0.5;+0.5;8;103;125;82.4;0;4;0.0;68;75;90.7;35;46;76.1;15;104;2;1;3;1;10;4;0;Matches
276;Isco\Isco;es ESP;MFFW;es Real Madrid;27;1992;3.0;0;0.1;-0.1;2;175;199;87.9;6;13;46.2;147;158;93.0;22;28;78.6;9;186;2;2;3;0;14;0;0;Matches
277;Ismaily\Ismaily;br BRA;DF;ua Shakhtar;29;1990;6.0;0;0.5;-0.5;6;354;411;86.1;18;28;64.3;301;329;91.5;35;54;64.8;305;43;10;0;1;42;15;6;2;Matches
278;Junya Ito\Junya-Ito;jp JPN;MFFW;be Genk;26;1993;4.9;0;0.2;-0.2;3;78;126;61.9;4;16;25.0;64;91;70.3;10;19;52.6;13;100;0;1;1;2;6;2;0;Matches
279;Mirko Ivanić\Mirko-Ivanic;me MNE;MF;rs Red Star;25;1993;1.2;0;0.0;0.0;0;11;22;50.0;0;1;0.0;10;15;66.7;1;6;16.7;3;15;0;1;0;0;2;1;0;Matches
280;Branislav Ivanović\Branislav-Ivanovic;rs SRB;DF;ru Zenit;35;1984;5.8;0;0.0;0.0;0;150;178;84.3;5;5;100.0;93;98;94.9;52;75;69.3;27;135;10;0;0;1;10;2;0;Matches
281;Luka Ivanušec\Luka-Ivanusec;hr CRO;MFDF;hr Dinamo Zagreb;20;1998;1.1;0;0.0;0.0;0;32;35;91.4;1;2;50.0;29;31;93.5;2;2;100.0;4;30;1;0;0;0;2;0;0;Matches
282;Reece James\Reece-James;eng ENG;DF;eng Chelsea;19;1999;3.2;0;0.6;-0.6;6;165;205;80.5;0;9;0.0;134;151;88.7;31;45;68.9;13;169;8;0;2;16;10;4;2;Matches
283;Jardel\Jardel;br BRA;DF;pt Benfica;33;1986;1.8;0;0.0;0.0;0;90;102;88.2;0;0;;70;79;88.6;20;23;87.0;24;66;4;0;0;0;6;0;0;Matches
284;Gabriel Jesus\Gabriel-Jesus;br BRA;FWMF;eng Manchester City;22;1997;4.6;2;1.8;+0.2;14;122;137;89.1;6;9;66.7;108;119;90.8;8;9;88.9;18;111;0;1;1;0;5;3;0;Matches
285;Frenkie de Jong\Frenkie-de-Jong;nl NED;MF;es Barcelona;22;1997;6.3;0;0.1;-0.1;2;413;451;91.6;5;14;35.7;323;343;94.2;85;94;90.4;19;415;8;0;0;4;47;5;0;Matches
