"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
538;Andreas Samaris\Andreas-Samaris;gr GRE;MF;pt Benfica;30;1989;0.1;0;0;0;1;0;1;0.0;10.00;0.00;0.00;;0.1;0.1;0.14;-0.1;-0.1;Matches
539;Mbwana Samatta\Mbwana-Samatta;tz TAN;FWMF;be Genk;26;1992;5.7;3;0;0;11;5;0;45.5;1.93;0.88;0.27;0.60;1.9;1.9;0.17;+1.1;+1.1;Matches
540;Renato Sanches\Renato-Sanches;pt POR;MFFW;fr Lille;21;1997;1.3;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
541;Alexis Sánchez\Alexis-Sanchez;cl CHI;FW;it Inter;30;1988;0.7;0;0;0;1;0;0;0.0;1.36;0.00;0.00;;0.3;0.3;0.26;-0.3;-0.3;Matches
542;Davinson Sánchez\Davinson-Sanchez;co COL;DF;eng Tottenham;23;1996;5.0;0;0;0;1;0;0;0.0;0.20;0.00;0.00;;0.3;0.3;0.26;-0.3;-0.3;Matches
543;Jadon Sancho\Jadon-Sancho;eng ENG;FWMF;de Dortmund;19;2000;6.2;2;0;0;15;8;0;53.3;2.42;1.29;0.13;0.25;2.1;2.1;0.14;-0.1;-0.1;Matches
544;Alex Sandro\Alex-Sandro;br BRA;DF;it Juventus;28;1991;5.0;0;0;0;5;1;0;20.0;1.00;0.20;0.00;0.00;0.2;0.2;0.04;-0.2;-0.2;Matches
545;Douglas Santos\Douglas-Santos;br BRA;DFMF;ru Zenit;25;1994;5.6;0;0;0;3;3;0;100.0;0.53;0.53;0.00;0.00;0.1;0.1;0.03;-0.1;-0.1;Matches
546;Pablo Sarabia\Pablo-Sarabia;es ESP;FWMF;fr Paris S-G;27;1992;3.1;2;0;0;9;6;0;66.7;2.90;1.94;0.22;0.33;0.7;0.7;0.07;+1.3;+1.3;Matches
547;Marcelo Saracchi\Marcelo-Saracchi;uy URU;DF;de RB Leipzig;21;1998;1.8;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
