"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
395;Lasse Sobiech\Lasse-Sobiech;de GER;DF;Köln;28;1991;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
396;Marcel Sobottka\Marcel-Sobottka;de GER;MF;Düsseldorf;25;1994;4.1;0;0;0;2;0;0;0.0;0.49;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
397;Yann Sommer\Yann-Sommer;ch SUI;GK;M'gladbach;30;1988;23.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
398;Djibril Sow\Djibril-Sow;ch SUI;MF;Eint Frankfurt;22;1997;15.6;1;0;0;19;2;0;10.5;1.22;0.13;0.05;0.50;1.3;1.3;0.07;-0.3;-0.3;Matches
399;Dennis Srbeny\Dennis-Srbeny;de GER;FWMF;Paderborn 07;25;1994;5.9;4;0;0;15;6;0;40.0;2.56;1.02;0.27;0.67;1.4;1.4;0.09;+2.6;+2.6;Matches
400;Jerry St. Juste\Jerry-St-Juste;nl NED;DF;Mainz 05;22;1996;16.7;2;0;0;8;2;0;25.0;0.48;0.12;0.25;1.00;0.5;0.5;0.06;+1.5;+1.5;Matches
401;Kostas Stafylidis\Kostas-Stafylidis;gr GRE;DF;Hoffenheim;25;1993;4.4;1;0;0;4;2;0;50.0;0.91;0.45;0.25;0.50;0.1;0.1;0.02;+0.9;+0.9;Matches
402;Benjamin Stambouli\Benjamin-Stambouli;fr FRA;DF;Schalke 04;28;1990;9.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
403;Niklas Stark\Niklas-Stark;de GER;DF;Hertha BSC;24;1995;14.8;0;0;0;6;1;0;16.7;0.41;0.07;0.00;0.00;0.5;0.5;0.08;-0.5;-0.5;Matches
404;Renato Steffen\Renato-Steffen;ch SUI;FWMF;Wolfsburg;27;1991;9.9;4;0;0;17;5;0;29.4;1.72;0.51;0.24;0.80;3.0;3.0;0.18;+1.0;+1.0;Matches
405;Zack Steffen\Zack-Steffen;us USA;GK;Düsseldorf;24;1995;17.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
406;Lars Stindl\Lars-Stindl;de GER;FWMF;M'gladbach;30;1988;7.4;5;1;1;11;6;0;54.5;1.48;0.81;0.36;0.67;3.3;2.5;0.23;+1.7;+1.5;Matches
407;Kevin Stöger\Kevin-Stoger;at AUT;MF;Düsseldorf;25;1993;5.5;0;0;0;8;3;0;37.5;1.46;0.55;0.00;0.00;0.3;0.3;0.04;-0.3;-0.3;Matches
408;Tobias Strobl\Tobias-Strobl;de GER;MFDF;M'gladbach;29;1990;4.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
409;Christian Strohdiek\Christian-Strohdiek;de GER;DF;Paderborn 07;31;1988;12.0;0;0;0;6;2;0;33.3;0.50;0.17;0.00;0.00;0.3;0.3;0.06;-0.3;-0.3;Matches
410;Neven Subotić\Neven-Subotic;rs SRB;DF;Union Berlin;30;1988;17.8;1;0;0;12;3;0;25.0;0.68;0.17;0.08;0.33;1.0;1.0;0.09;0.0;0.0;Matches
411;Marek Suchý\Marek-Suchy;cz CZE;DF;Augsburg;31;1988;1.5;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
412;Niklas Süle\Niklas-Sule;de GER;DF;Bayern Munich;23;1995;7.1;0;0;0;6;1;0;16.7;0.84;0.14;0.00;0.00;0.2;0.2;0.04;-0.2;-0.2;Matches
413;Markus Suttner\Markus-Suttner;at AUT;DFFW;Düsseldorf;32;1987;9.1;0;0;0;6;0;1;0.0;0.66;0.00;0.00;;0.2;0.2;0.03;-0.2;-0.2;Matches
414;Ádám Szalai\Adam-Szalai;hu HUN;FW;Mainz 05;31;1987;11.6;1;0;0;25;8;0;32.0;2.16;0.69;0.04;0.13;4.0;4.0;0.16;-3.0;-3.0;Matches
415;Jonathan Tah\Jonathan-Tah;de GER;DF;Leverkusen;23;1996;19.0;0;0;0;5;1;0;20.0;0.26;0.05;0.00;0.00;0.2;0.2;0.04;-0.2;-0.2;Matches
416;Edmond Tapsoba\Edmond-Tapsoba;bf BFA;DF;Leverkusen;20;1999;4.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
417;Georg Teigl\Georg-Teigl;at AUT;DFMF;Augsburg;28;1991;1.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
418;Bernard Tekpetey\Bernard-Tekpetey;gh GHA;FWMF;Düsseldorf;21;1997;5.0;0;0;0;11;1;0;9.1;2.20;0.20;0.00;0.00;0.5;0.5;0.05;-0.5;-0.5;Matches
419;Lino Tempelmann\Lino-Tempelmann;de GER;MF;Freiburg;20;1999;0.4;0;0;0;1;0;0;0.0;2.65;0.00;0.00;;0.0;0.0;0.04;0.0;0.0;Matches
420;Simon Terodde\Simon-Terodde;de GER;FWMF;Köln;31;1988;8.6;3;0;0;36;11;0;30.6;4.21;1.29;0.08;0.27;6.5;6.5;0.18;-3.5;-3.5;Matches
421;Niclas Thiede\Niclas-Thiede;de GER;GK;Freiburg;20;1999;0.8;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
422;Jan Thielmann\Jan-Thielmann;de GER;FWMF;Köln;17;2002;3.6;0;0;0;6;2;0;33.3;1.65;0.55;0.00;0.00;0.4;0.4;0.07;-0.4;-0.4;Matches
423;Erik Thommy\Erik-Thommy;de GER;MFFW;Düsseldorf;24;1994;16.5;5;0;0;32;13;1;40.6;1.94;0.79;0.16;0.38;2.4;2.4;0.07;+2.6;+2.6;Matches
424;Marcus Thuram\Marcus-Thuram;fr FRA;FW;M'gladbach;21;1997;18.7;6;0;0;43;27;0;62.8;2.29;1.44;0.14;0.22;7.0;7.0;0.16;-1.0;-1.0;Matches
425;Marcel Tisserand\Marcel-Tisserand;cd COD;DF;Wolfsburg;26;1993;13.4;1;0;0;8;2;0;25.0;0.60;0.15;0.13;0.50;1.0;1.0;0.12;0.0;0.0;Matches
426;Jean-Clair Todibo\Jean-Clair-Todibo;fr FRA;DF;Schalke 04;19;1999;2.0;0;0;0;3;1;0;33.3;1.53;0.51;0.00;0.00;0.2;0.2;0.06;-0.2;-0.2;Matches
427;Corentin Tolisso\Corentin-Tolisso;fr FRA;MF;Bayern Munich;24;1994;7.1;1;0;0;16;3;0;18.8;2.26;0.42;0.06;0.33;1.4;1.4;0.09;-0.4;-0.4;Matches
428;Ömer Toprak\Omer-Toprak;tr TUR;DF;Werder Bremen;30;1989;8.0;0;0;0;5;1;0;20.0;0.63;0.13;0.00;0.00;0.3;0.3;0.06;-0.3;-0.3;Matches
429;Lucas Torró\Lucas-Torro;es ESP;MFFW;Eint Frankfurt;25;1994;1.5;0;0;0;2;0;0;0.0;1.31;0.00;0.00;;0.1;0.1;0.04;-0.1;-0.1;Matches
430;Jordan Torunarigha\Jordan-Torunarigha;de GER;DF;Hertha BSC;21;1997;6.2;1;0;0;2;1;0;50.0;0.32;0.16;0.50;1.00;0.5;0.5;0.23;+0.5;+0.5;Matches
431;Almamy Touré\Almamy-Toure;ml MLI;DF;Eint Frankfurt;23;1996;11.2;1;0;0;10;3;0;30.0;0.89;0.27;0.10;0.33;1.5;1.5;0.15;-0.5;-0.5;Matches
432;Ibrahima Traoré\Ibrahima-Traore;gn GUI;FW;M'gladbach;31;1988;0.1;0;0;0;1;0;1;0.0;6.92;0.00;0.00;;0.1;0.1;0.06;-0.1;-0.1;Matches
433;Kevin Trapp\Kevin-Trapp;de GER;GK;Eint Frankfurt;29;1990;12.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
434;Christopher Trimmel\Christopher-Trimmel;at AUT;DF;Union Berlin;32;1987;21.8;0;0;0;2;2;0;100.0;0.09;0.09;0.00;0.00;0.1;0.1;0.05;-0.1;-0.1;Matches
435;Anthony Ujah\Anthony-Ujah;ng NGA;FWMF;Union Berlin;28;1990;6.7;2;0;0;14;4;0;28.6;2.10;0.60;0.14;0.50;1.5;1.5;0.11;+0.5;+0.5;Matches
436;Sven Ulreich\Sven-Ulreich;de GER;GK;Bayern Munich;30;1988;0.0;0;0;0;0;0;0;;;;;;0.0;0.0;;0.0;0.0;Matches
437;Dayot Upamecano\Dayot-Upamecano;fr FRA;DF;RB Leipzig;20;1998;19.6;0;0;0;14;4;0;28.6;0.72;0.20;0.00;0.00;1.8;1.8;0.14;-1.8;-1.8;Matches
438;Mark Uth\Mark-Uth;de GER;FWMF;Schalke 04;27;1991;3.9;0;0;0;8;3;0;37.5;2.05;0.77;0.00;0.00;0.9;0.9;0.12;-0.9;-0.9;Matches
439;Mark Uth\Mark-Uth;de GER;MF;Köln;27;1991;5.7;3;0;0;23;10;3;43.5;4.06;1.76;0.13;0.30;2.7;2.7;0.12;+0.3;+0.3;Matches
440;Ruben Vargas\Ruben-Vargas;ch SUI;MFFW;Augsburg;20;1998;19.6;4;0;0;41;17;0;41.5;2.09;0.87;0.10;0.24;5.5;5.5;0.14;-1.5;-1.5;Matches
441;Sebastian Vasiliadis\Sebastian-Vasiliadis;gr GRE;MF;Paderborn 07;21;1997;23.4;1;0;0;28;6;0;21.4;1.19;0.26;0.04;0.17;1.4;1.4;0.05;-0.4;-0.4;Matches
442;Miloš Veljković\Milos-Veljkovic;rs SRB;DF;Werder Bremen;23;1995;12.9;0;0;0;2;0;0;0.0;0.15;0.00;0.00;;0.1;0.1;0.05;-0.1;-0.1;Matches
443;Birger Verstraete\Birger-Verstraete;be BEL;MF;Köln;25;1994;7.4;0;0;0;8;2;4;25.0;1.08;0.27;0.00;0.00;0.3;0.3;0.04;-0.3;-0.3;Matches
444;Kevin Vogt\Kevin-Vogt;de GER;DF;Hoffenheim;27;1991;10.7;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
445;Kevin Vogt\Kevin-Vogt;de GER;DF;Werder Bremen;27;1991;4.7;0;0;0;1;0;0;0.0;0.21;0.00;0.00;;0.1;0.1;0.08;-0.1;-0.1;Matches
446;Kevin Volland\Kevin-Volland;de GER;FW;Leverkusen;27;1992;20.2;9;0;0;66;28;1;42.4;3.27;1.39;0.14;0.32;10.3;10.3;0.16;-1.3;-1.3;Matches
447;Luca Waldschmidt\Luca-Waldschmidt;de GER;FWMF;Freiburg;23;1996;9.5;5;3;3;26;5;1;19.2;2.74;0.53;0.08;0.40;3.8;1.5;0.06;+1.2;+0.5;Matches
448;Wout Weghorst\Wout-Weghorst;nl NED;FW;Wolfsburg;26;1992;21.6;11;3;3;62;26;0;41.9;2.87;1.20;0.13;0.31;11.1;8.8;0.14;-0.1;-0.8;Matches
449;Julian Weigl\Julian-Weigl;de GER;MFDF;Dortmund;23;1995;11.3;1;0;0;9;3;0;33.3;0.79;0.26;0.11;0.33;0.3;0.3;0.03;+0.7;+0.7;Matches
450;Mitchell Weiser\Mitchell-Weiser;de GER;DF;Leverkusen;25;1994;8.0;0;0;0;4;0;0;0.0;0.50;0.00;0.00;;0.4;0.4;0.11;-0.4;-0.4;Matches
451;Wendell\Wendell;br BRA;DF;Leverkusen;26;1993;15.7;0;0;0;9;1;0;11.1;0.57;0.06;0.00;0.00;0.2;0.2;0.03;-0.2;-0.2;Matches
452;Oscar Wendt\Oscar-Wendt;se SWE;DF;M'gladbach;33;1985;14.9;2;0;0;9;3;0;33.3;0.61;0.20;0.22;0.67;1.2;1.2;0.14;+0.8;+0.8;Matches
453;Timo Werner\Timo-Werner;de GER;FW;RB Leipzig;23;1996;22.5;21;3;3;89;42;0;47.2;3.96;1.87;0.20;0.43;16.3;14.1;0.16;+4.7;+3.9;Matches
454;Felix Wiedwald\Felix-Wiedwald;de GER;GK;Eint Frankfurt;29;1990;3.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
455;William\William;br BRA;DF;Wolfsburg;24;1995;15.2;1;0;0;17;6;1;35.3;1.12;0.40;0.06;0.17;1.5;1.5;0.09;-0.5;-0.5;Matches
456;Axel Witsel\Axel-Witsel;be BEL;MF;Dortmund;30;1989;19.1;4;0;0;23;6;0;26.1;1.20;0.31;0.17;0.67;1.8;1.8;0.08;+2.2;+2.2;Matches
457;Hannes Wolf\Hannes-Wolf;at AUT;FW;RB Leipzig;20;1999;0.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
458;Marius Wolf\Marius-Wolf;de GER;FWMF;Hertha BSC;24;1995;14.7;1;0;0;13;2;0;15.4;0.89;0.14;0.08;0.50;0.9;0.9;0.07;+0.1;+0.1;Matches
459;Nick Woltemade\Nick-Woltemade;de GER;FW;Werder Bremen;17;2002;0.6;0;0;0;1;0;0;0.0;1.55;0.00;0.00;;0.0;0.0;0.04;0.0;0.0;Matches
460;Dan-Axel Zagadou\Dan-Axel-Zagadou;fr FRA;DF;Dortmund;20;1999;9.6;1;0;0;4;3;0;75.0;0.42;0.31;0.25;0.33;0.2;0.2;0.05;+0.8;+0.8;Matches
461;Denis Zakaria\Denis-Zakaria;ch SUI;MF;M'gladbach;22;1996;21.2;2;0;0;23;5;0;21.7;1.08;0.24;0.09;0.40;1.6;1.6;0.07;+0.4;+0.4;Matches
462;Robin Zentner\Robin-Zentner;de GER;GK;Mainz 05;24;1994;21.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
463;Jean Zimmer\Jean-Zimmer;de GER;DFMF;Düsseldorf;25;1993;5.9;0;0;0;9;1;0;11.1;1.53;0.17;0.00;0.00;0.3;0.3;0.03;-0.3;-0.3;Matches
464;Matthias Zimmermann\Matthias-Zimmermann;de GER;DFMF;Düsseldorf;27;1992;24.0;1;0;0;14;1;0;7.1;0.58;0.04;0.07;1.00;0.6;0.6;0.04;+0.4;+0.4;Matches
465;Leopold Zingerle\Leopold-Zingerle;de GER;GK;Paderborn 07;25;1994;19.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
466;Joshua Zirkzee\Joshua-Zirkzee;nl NED;FWMF;Bayern Munich;18;2001;1.1;3;0;0;7;4;0;57.1;6.30;3.60;0.43;0.75;1.4;1.4;0.21;+1.6;+1.6;Matches
467;Ben Zolinski\Ben-Zolinski;de GER;FWMF;Paderborn 07;27;1992;11.1;3;0;0;14;5;0;35.7;1.26;0.45;0.21;0.60;2.5;2.5;0.18;+0.5;+0.5;Matches
468;Steven Zuber\Steven-Zuber;ch SUI;DF;Hoffenheim;27;1991;3.8;0;0;0;5;1;0;20.0;1.31;0.26;0.00;0.00;0.2;0.2;0.03;-0.2;-0.2;Matches
