"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
67;Jeffrey Bruma\Jeffrey-Bruma;nl NED;DF;Mainz 05;27;1991;4.0;0;0;0;6;0;1;0.0;1.50;0.00;0.00;;0.4;0.4;0.06;-0.4;-0.4;Matches
68;Jeffrey Bruma\Jeffrey-Bruma;nl NED;DF;Wolfsburg;27;1991;9.0;0;0;0;9;2;0;22.2;1.00;0.22;0.00;0.00;1.3;1.3;0.14;-1.3;-1.3;Matches
69;Jacob Bruun Larsen\Jacob-Bruun-Larsen;dk DEN;MFFW;Hoffenheim;20;1998;1.8;0;0;0;3;0;0;0.0;1.64;0.00;0.00;;0.2;0.2;0.07;-0.2;-0.2;Matches
70;Jacob Bruun Larsen\Jacob-Bruun-Larsen;dk DEN;FW;Dortmund;20;1998;0.7;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
71;Marius Bülter\Marius-Bulter;de GER;FWMF;Union Berlin;26;1993;18.3;7;0;0;31;12;0;38.7;1.69;0.66;0.23;0.58;2.7;2.7;0.09;+4.3;+4.3;Matches
72;Guido Burgstaller\Guido-Burgstaller;at AUT;FW;Schalke 04;30;1989;11.2;0;0;0;30;7;0;23.3;2.67;0.62;0.00;0.00;4.3;4.3;0.14;-4.3;-4.3;Matches
73;Jonathan Burkardt\Jonathan-Burkardt;de GER;FWDF;Mainz 05;19;2000;1.0;0;0;0;4;0;0;0.0;3.87;0.00;0.00;;0.6;0.6;0.14;-0.6;-0.6;Matches
74;Roman Bürki\Roman-Burki;ch SUI;GK;Dortmund;28;1990;20.8;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
75;Daniel Caligiuri\Daniel-Caligiuri;it ITA;MFFW;Schalke 04;31;1988;18.1;1;0;0;29;6;7;20.7;1.61;0.33;0.03;0.17;1.4;1.4;0.05;-0.4;-0.4;Matches
76;Emre Can\Emre-Can;de GER;MF;Dortmund;25;1994;3.7;1;0;0;5;1;0;20.0;1.36;0.27;0.20;1.00;0.1;0.1;0.03;+0.9;+0.9;Matches
77;Koen Casteels\Koen-Casteels;be BEL;GK;Wolfsburg;27;1992;16.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
78;Timothy Chandler\Timothy-Chandler;us USA;DFMF;Eint Frankfurt;29;1990;10.4;4;0;0;14;6;0;42.9;1.35;0.58;0.29;0.67;1.3;1.3;0.09;+2.7;+2.7;Matches
79;Kwon Chang-hoon\Kwon-Chang-hoon;kr KOR;MFFW;Freiburg;25;1994;5.8;2;0;0;12;5;0;41.7;2.06;0.86;0.17;0.40;1.7;1.7;0.14;+0.3;+0.3;Matches
80;Darko Churlinov\Darko-Churlinov;mk MKD;FW;Köln;19;2000;0.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
81;Per Ciljan Skjelbred\Per-Ciljan-Skjelbred;no NOR;MF;Hertha BSC;32;1987;13.4;0;0;0;1;0;0;0.0;0.07;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
82;Jamilu Collins\Jamilu-Collins;ng NGA;DF;Paderborn 07;24;1994;20.6;1;0;1;14;1;1;7.1;0.68;0.05;0.07;1.00;1.7;1.0;0.07;-0.7;0.0;Matches
83;Kingsley Coman\Kingsley-Coman;fr FRA;FWMF;Bayern Munich;23;1996;11.1;2;0;0;23;9;0;39.1;2.08;0.81;0.09;0.22;2.4;2.4;0.11;-0.4;-0.4;Matches
84;Jhon Córdoba\Jhon-Cordoba;co COL;FW;Köln;26;1993;14.5;10;0;0;46;20;0;43.5;3.17;1.38;0.22;0.50;7.2;7.2;0.16;+2.8;+2.8;Matches
85;Sergio Córdova\Sergio-Cordova;ve VEN;FW;Augsburg;21;1997;2.9;1;0;0;2;1;0;50.0;0.69;0.34;0.50;1.00;0.6;0.6;0.29;+0.4;+0.4;Matches
86;Danny da Costa\Danny-da-Costa;de GER;DFMF;Eint Frankfurt;26;1993;11.4;1;0;0;13;3;0;23.1;1.14;0.26;0.08;0.33;1.2;1.2;0.09;-0.2;-0.2;Matches
87;Philippe Coutinho\Philippe-Coutinho;br BRA;MFFW;Bayern Munich;27;1992;14.4;8;1;1;54;25;2;46.3;3.74;1.73;0.13;0.28;7.8;7.1;0.13;+0.2;-0.1;Matches
88;Mickaël Cuisance\Mickael-Cuisance;fr FRA;MF;Bayern Munich;19;1999;0.4;0;0;0;2;0;0;0.0;4.86;0.00;0.00;;0.0;0.0;0.02;0.0;0.0;Matches
89;Matheus Cunha\Matheus-Cunha;br BRA;FWMF;RB Leipzig;20;1999;3.0;0;0;0;16;7;0;43.8;5.27;2.31;0.00;0.00;2.1;2.1;0.13;-2.1;-2.1;Matches
90;Matheus Cunha\Matheus-Cunha;br BRA;FW;Hertha BSC;20;1999;2.4;2;0;0;9;3;0;33.3;3.72;1.24;0.22;0.67;1.3;1.3;0.14;+0.7;+0.7;Matches
91;Rafael Czichos\Rafael-Czichos;de GER;DF;Köln;29;1990;18.9;1;0;0;9;5;0;55.6;0.48;0.26;0.11;0.20;1.1;1.1;0.12;-0.1;-0.1;Matches
92;Moanes Dabour\Moanes-Dabour;il ISR;FWMF;Hoffenheim;27;1992;3.3;0;0;0;6;2;0;33.3;1.82;0.61;0.00;0.00;1.1;1.1;0.18;-1.1;-1.1;Matches
93;Mahmoud Dahoud\Mahmoud-Dahoud;de GER;MF;Dortmund;23;1996;3.3;0;0;0;9;2;0;22.2;2.75;0.61;0.00;0.00;1.1;1.1;0.12;-1.1;-1.1;Matches
94;Leon Dajaku\Leon-Dajaku;de GER;DF;Bayern Munich;18;2001;0.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
95;Vladimír Darida\Vladimir-Darida;cz CZE;MF;Hertha BSC;28;1990;16.7;3;0;0;28;10;0;35.7;1.67;0.60;0.11;0.30;2.3;2.3;0.08;+0.7;+0.7;Matches
96;Alphonso Davies\Alphonso-Davies;ca CAN;DF;Bayern Munich;18;2000;16.7;1;0;0;10;3;0;30.0;0.60;0.18;0.10;0.33;1.2;1.2;0.12;-0.2;-0.2;Matches
97;Thomas Delaney\Thomas-Delaney;dk DEN;MF;Dortmund;27;1991;5.3;0;0;0;3;0;0;0.0;0.56;0.00;0.00;;0.5;0.5;0.17;-0.5;-0.5;Matches
98;Kerem Demirbay\Kerem-Demirbay;de GER;MF;Leverkusen;26;1993;12.4;0;0;0;23;6;1;26.1;1.85;0.48;0.00;0.00;1.3;1.3;0.05;-1.3;-1.3;Matches
99;Diego Demme\Diego-Demme;de GER;MF;RB Leipzig;27;1991;13.5;0;0;0;4;2;0;50.0;0.30;0.15;0.00;0.00;0.4;0.4;0.09;-0.4;-0.4;Matches
100;Moussa Diaby\Moussa-Diaby;fr FRA;FWMF;Leverkusen;20;1999;11.6;4;0;0;27;17;0;63.0;2.33;1.47;0.15;0.24;3.5;3.5;0.13;+0.5;+0.5;Matches
101;Javairô Dilrosun\Javairo-Dilrosun;nl NED;MFFW;Hertha BSC;21;1998;12.9;3;0;0;17;5;2;29.4;1.32;0.39;0.18;0.60;1.6;1.6;0.09;+1.4;+1.4;Matches
102;Bas Dost\Bas-Dost;nl NED;FW;Eint Frankfurt;30;1989;10.8;5;0;0;20;12;0;60.0;1.85;1.11;0.25;0.42;3.9;3.9;0.19;+1.1;+1.1;Matches
103;Mohamed Dräger\Mohamed-Drager;tn TUN;DF;Paderborn 07;23;1996;10.5;0;0;0;8;1;0;12.5;0.76;0.10;0.00;0.00;0.2;0.2;0.03;-0.2;-0.2;Matches
104;Aleksandar Dragović\Aleksandar-Dragovic;at AUT;DF;Leverkusen;28;1991;6.0;0;0;0;2;0;0;0.0;0.33;0.00;0.00;;0.5;0.5;0.25;-0.5;-0.5;Matches
105;Dominick Drexler\Dominick-Drexler;de GER;MFFW;Köln;29;1990;13.0;2;0;0;16;7;0;43.8;1.23;0.54;0.13;0.29;1.9;1.9;0.12;+0.1;+0.1;Matches
106;Ondrej Duda\Ondrej-Duda;sk SVK;MFFW;Hertha BSC;24;1994;5.0;0;0;0;7;5;2;71.4;1.40;1.00;0.00;0.00;0.5;0.5;0.08;-0.5;-0.5;Matches
107;Erik Durm\Erik-Durm;de GER;DF;Eint Frankfurt;27;1992;5.5;0;0;0;13;3;0;23.1;2.35;0.54;0.00;0.00;0.6;0.6;0.05;-0.6;-0.6;Matches
108;Johannes Eggestein\Johannes-Eggestein;de GER;MFFW;Werder Bremen;21;1998;5.2;1;0;0;14;6;0;42.9;2.70;1.16;0.07;0.17;0.9;0.9;0.07;+0.1;+0.1;Matches
109;Maximilian Eggestein\Maximilian-Eggestein;de GER;MFDF;Werder Bremen;22;1996;20.7;0;0;0;34;10;0;29.4;1.64;0.48;0.00;0.00;2.0;2.0;0.06;-2.0;-2.0;Matches
110;Kingsley Ehizibue\Kingsley-Ehizibue;nl NED;DF;Köln;24;1995;19.2;1;0;0;10;4;0;40.0;0.52;0.21;0.10;0.25;0.8;0.8;0.08;+0.2;+0.2;Matches
111;Nico Elvedi\Nico-Elvedi;ch SUI;DF;M'gladbach;22;1996;19.7;1;0;0;6;1;0;16.7;0.30;0.05;0.17;1.00;0.6;0.6;0.10;+0.4;+0.4;Matches
