"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
439;Mark Uth\Mark-Uth;de GER;MF;Köln;27;1991;5.7;4;2.3;+1.7;18;130;200;65.0;3;13;23.1;78;98;79.6;49;89;55.1;170;17;15;2;27;2;17;10;2;Matches
440;Ruben Vargas\Ruben-Vargas;ch SUI;MFFW;Augsburg;20;1998;19.6;1;2.9;-1.9;15;261;421;62.0;11;35;31.4;208;306;68.0;42;80;52.5;61;309;1;0;0;15;23;9;1;Matches
441;Sebastian Vasiliadis\Sebastian-Vasiliadis;gr GRE;MF;Paderborn 07;21;1997;23.4;1;1.8;-0.8;24;643;835;77.0;6;33;18.2;490;578;84.8;147;224;65.6;161;591;13;2;2;6;65;14;1;Matches
442;Miloš Veljković\Milos-Veljkovic;rs SRB;DF;Werder Bremen;23;1995;12.9;0;0.0;0.0;2;527;654;80.6;4;12;33.3;346;385;89.9;177;257;68.9;137;471;36;0;0;3;59;2;0;Matches
443;Birger Verstraete\Birger-Verstraete;be BEL;MF;Köln;25;1994;7.4;1;0.8;+0.2;9;196;270;72.6;3;8;37.5;129;157;82.2;64;105;61.0;37;210;27;0;23;1;23;3;1;Matches
444;Kevin Vogt\Kevin-Vogt;de GER;DF;Hoffenheim;27;1991;10.7;0;0.1;-0.1;1;776;830;93.5;3;6;50.0;470;491;95.7;303;333;91.0;36;754;16;0;0;0;30;1;0;Matches
445;Kevin Vogt\Kevin-Vogt;de GER;DF;Werder Bremen;27;1991;4.7;0;0.0;0.0;1;277;315;87.9;3;5;60.0;129;144;89.6;145;166;87.3;18;276;7;0;0;2;7;0;0;Matches
446;Kevin Volland\Kevin-Volland;de GER;FW;Leverkusen;27;1992;20.2;7;5.7;+1.3;33;390;540;72.2;22;50;44.0;308;401;76.8;60;89;67.4;342;145;0;8;1;6;32;20;5;Matches
447;Luca Waldschmidt\Luca-Waldschmidt;de GER;FWMF;Freiburg;23;1996;9.5;1;0.8;+0.2;9;185;240;77.1;6;18;33.3;153;184;83.2;26;38;68.4;164;59;0;2;0;0;10;8;2;Matches
448;Wout Weghorst\Wout-Weghorst;nl NED;FW;Wolfsburg;26;1992;21.6;3;2.0;+1.0;31;391;589;66.4;17;51;33.3;334;467;71.5;40;71;56.3;45;369;0;2;0;9;44;12;0;Matches
449;Julian Weigl\Julian-Weigl;de GER;MFDF;Dortmund;23;1995;11.3;0;0.3;-0.3;4;753;824;91.4;9;19;47.4;474;504;94.0;270;301;89.7;87;710;16;1;0;1;52;5;0;Matches
450;Mitchell Weiser\Mitchell-Weiser;de GER;DF;Leverkusen;25;1994;8.0;0;0.2;-0.2;5;524;656;79.9;9;36;25.0;458;521;87.9;57;99;57.6;91;421;6;0;0;103;24;10;5;Matches
451;Wendell\Wendell;br BRA;DF;Leverkusen;26;1993;15.7;2;1.1;+0.9;8;1155;1356;85.2;7;35;20.0;955;1051;90.9;193;270;71.5;1038;107;20;2;0;151;65;3;0;Matches
452;Oscar Wendt\Oscar-Wendt;se SWE;DF;M'gladbach;33;1985;14.9;2;1.7;+0.3;17;650;866;75.1;4;29;13.8;544;619;87.9;102;218;46.8;518;145;27;0;27;171;42;13;5;Matches
453;Timo Werner\Timo-Werner;de GER;FW;RB Leipzig;23;1996;22.5;7;6.1;+0.9;35;540;753;71.7;20;62;32.3;458;579;79.1;62;112;55.4;124;559;2;4;1;22;38;40;7;Matches
454;Felix Wiedwald\Felix-Wiedwald;de GER;GK;Eint Frankfurt;29;1990;3.0;0;0.0;0.0;0;70;103;68.0;0;0;;32;36;88.9;38;67;56.7;4;79;7;0;0;0;2;0;0;Matches
455;William\William;br BRA;DF;Wolfsburg;24;1995;15.2;1;1.6;-0.6;16;635;885;71.8;14;45;31.1;471;577;81.6;150;263;57.0;78;556;6;1;5;206;66;12;5;Matches
456;Axel Witsel\Axel-Witsel;be BEL;MF;Dortmund;30;1989;19.1;4;2.3;+1.7;12;1290;1373;94.0;19;35;54.3;1063;1103;96.4;208;235;88.5;99;1226;40;0;0;8;107;7;1;Matches
457;Hannes Wolf\Hannes-Wolf;at AUT;FW;RB Leipzig;20;1999;0.2;0;0.0;0.0;0;7;10;70.0;0;2;0.0;7;8;87.5;0;0;;7;3;0;0;0;0;0;0;0;Matches
458;Marius Wolf\Marius-Wolf;de GER;FWMF;Hertha BSC;24;1995;14.7;3;1.7;+1.3;17;437;633;69.0;17;64;26.6;322;402;80.1;98;167;58.7;33;479;9;3;2;69;48;11;5;Matches
459;Nick Woltemade\Nick-Woltemade;de GER;FW;Werder Bremen;17;2002;0.6;0;0.0;0.0;0;6;9;66.7;2;3;66.7;4;5;80.0;0;1;0.0;1;8;0;0;0;0;0;0;0;Matches
460;Dan-Axel Zagadou\Dan-Axel-Zagadou;fr FRA;DF;Dortmund;20;1999;9.6;1;0.4;+0.6;6;685;744;92.1;3;5;60.0;477;502;95.0;205;237;86.5;581;124;9;0;0;2;38;0;0;Matches
461;Denis Zakaria\Denis-Zakaria;ch SUI;MF;M'gladbach;22;1996;21.2;2;0.9;+1.1;11;766;885;86.6;17;31;54.8;575;639;90.0;174;215;80.9;18;828;24;2;0;3;62;12;0;Matches
462;Robin Zentner\Robin-Zentner;de GER;GK;Mainz 05;24;1994;21.0;0;0.1;-0.1;1;499;779;64.1;4;4;100.0;251;252;99.6;244;523;46.7;81;527;50;0;0;0;21;0;0;Matches
463;Jean Zimmer\Jean-Zimmer;de GER;DFMF;Düsseldorf;25;1993;5.9;0;0.7;-0.7;9;118;177;66.7;2;6;33.3;86;119;72.3;30;52;57.7;17;129;10;0;11;25;11;4;0;Matches
464;Matthias Zimmermann\Matthias-Zimmermann;de GER;DFMF;Düsseldorf;27;1992;24.0;2;0.8;+1.2;19;833;1160;71.8;9;46;19.6;607;742;81.8;217;372;58.3;83;811;8;1;1;174;81;19;9;Matches
465;Leopold Zingerle\Leopold-Zingerle;de GER;GK;Paderborn 07;25;1994;19.0;0;0.0;0.0;0;657;813;80.8;5;5;100.0;371;373;99.5;281;435;64.6;74;600;43;0;0;0;3;0;0;Matches
466;Joshua Zirkzee\Joshua-Zirkzee;nl NED;FWMF;Bayern Munich;18;2001;1.1;0;0.1;-0.1;1;31;41;75.6;3;7;42.9;27;32;84.4;1;2;50.0;9;27;0;1;0;0;2;3;0;Matches
467;Ben Zolinski\Ben-Zolinski;de GER;FWMF;Paderborn 07;27;1992;11.1;1;1.3;-0.3;12;229;309;74.1;7;22;31.8;184;229;80.3;38;58;65.5;43;229;0;1;0;3;24;4;1;Matches
468;Steven Zuber\Steven-Zuber;ch SUI;DF;Hoffenheim;27;1991;3.8;0;0.3;-0.3;3;175;214;81.8;2;12;16.7;148;164;90.2;25;38;65.8;75;101;3;0;0;31;6;2;1;Matches
