"id";"name";"nation";"position";"team";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
40;Sheraldo Becker\Sheraldo-Becker;nl NED;MFFW;Union Berlin;24;1995;11;5;504;0;2;0;0;1;0;0.00;0.36;0.36;0.00;0.36;0.2;0.2;0.8;0.04;0.15;0.19;0.04;0.19;Matches
41;Timo Becker\Timo-Becker;de GER;DF;Schalke 04;22;1997;3;1;82;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
42;Maximilian Beier\Maximilian-Beier;de GER;MFDF;Hoffenheim;16;2002;2;0;10;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
43;Ishak Belfodil\Ishak-Belfodil;dz ALG;FWMF;Hoffenheim;27;1992;5;3;269;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1.3;1.3;0.2;0.42;0.08;0.50;0.42;0.50;Matches
44;Karim Bellarabi\Karim-Bellarabi;de GER;FWDF;Leverkusen;29;1990;21;13;1147;3;3;0;0;1;0;0.24;0.24;0.47;0.24;0.47;4.8;4.8;2.8;0.38;0.22;0.60;0.38;0.60;Matches
45;Lars Bender\Lars-Bender;de GER;DFMF;Leverkusen;30;1989;17;15;1327;2;1;0;0;3;0;0.14;0.07;0.20;0.14;0.20;0.8;0.8;1.1;0.06;0.07;0.13;0.06;0.13;Matches
46;Sven Bender\Sven-Bender;de GER;DF;Leverkusen;30;1989;24;24;2077;0;1;0;0;2;0;0.00;0.04;0.04;0.00;0.04;0.7;0.7;0.1;0.03;0.00;0.03;0.03;0.03;Matches
47;László Bénes\Laszlo-Benes;sk SVK;MF;M'gladbach;21;1997;13;10;818;0;4;0;0;3;0;0.00;0.44;0.44;0.00;0.44;1.0;1.0;2.3;0.11;0.25;0.36;0.11;0.36;Matches
48;Ramy Bensebaini\Ramy-Bensebaini;dz ALG;DF;M'gladbach;24;1995;9;8;726;4;0;1;1;4;1;0.50;0.00;0.50;0.37;0.37;2.1;1.3;0.4;0.26;0.05;0.30;0.16;0.21;Matches
49;Valon Berisha\Valon-Berisha;xk KVX;MF;Düsseldorf;26;1993;5;5;386;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.3;0.10;0.06;0.16;0.10;0.16;Matches
50;Louis Beyer\Louis-Beyer;de GER;DF;M'gladbach;19;2000;3;0;109;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
51;Ermin Bičakčić\Ermin-Bicakcic;ba BIH;DF;Hoffenheim;29;1990;14;9;759;2;0;0;0;0;0;0.24;0.00;0.24;0.24;0.24;0.4;0.4;0.4;0.04;0.04;0.08;0.04;0.08;Matches
52;Leonardo Bittencourt\Leonardo-Bittencourt;de GER;FW;Hoffenheim;25;1993;1;0;2;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;1.72;0.00;1.72;1.72;1.72;Matches
53;Leonardo Bittencourt\Leonardo-Bittencourt;de GER;FWMF;Werder Bremen;25;1993;18;17;1488;2;0;0;0;5;0;0.12;0.00;0.12;0.12;0.12;2.3;2.3;2.4;0.14;0.15;0.29;0.14;0.29;Matches
