id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Matches
166;Anton Kochenkov\Anton-Kochenkov;ru RUS;GK;Loko Moscow;32;1987;2.0;0;0;0;0;0;0;0;0;0;;;0;Matches
167;Aleksandr Kokorin\Aleksandr-Kokorin;ru RUS;FW;Sochi;28;1991;1.0;0;0;0;0;3;1;0;0;0;;;0;Matches
168;Nikita Koldunov\Nikita-Koldunov;ru RUS;MF;Sochi;19;2000;0.3;1;0;0;1;1;0;1;0;0;;;0;Matches
169;Aleksandr Kolomeytsev\Aleksandr-Kolomeytsev;ru RUS;MF;Loko Moscow;30;1989;5.5;1;0;0;8;4;1;4;8;3;;;0;Matches
170;Dmitri Kombarov\Dmitri-Kombarov;ru RUS;DF;Samara;32;1987;12.7;3;0;0;9;15;0;61;13;28;;;0;Matches
171;Kirill Kombarov\Kirill-Kombarov;ru RUS;DFMF;Arsenal Tula;32;1987;13.9;1;0;0;21;19;0;24;23;12;;;0;Matches
172;Nikolay Komlichenko\Nikolay-Komlichenko;ru RUS;FW;Dynamo Mosc;24;1995;0.4;0;0;0;0;1;0;0;0;0;;;0;Matches
173;Mohamed Konaté\Mohamed-Konate;ci CIV;FW;Tambov;21;1997;1.0;0;0;0;2;0;2;1;0;0;;;0;Matches
174;Igor Konovalov\Igor-Konovalov;ru RUS;MF;Rubin Kazan;23;1996;19.0;6;0;0;16;18;0;61;16;26;;;0;Matches
175;Georgi Kostadinov\Georgi-Kostadinov;bg BUL;MF;Arsenal Tula;28;1990;15.7;4;0;0;32;38;0;2;27;39;;;0;Matches
176;Mikhail Kostyukov\Mikhail-Kostyukov;ru RUS;MFFW;Tambov;27;1991;16.1;3;0;0;27;17;11;13;21;11;;;0;Matches
177;Andrei Kozlov\Andrei-Kozlov;ru RUS;FW;Ufa;30;1989;6.4;0;0;0;17;10;5;1;3;1;;;0;Matches
178;Savelii Kozlov\Savelii-Kozlov;ru RUS;DF;Orenburg;22;1997;4.9;1;0;0;7;9;0;1;5;9;;;0;Matches
179;Alex Král\Alex-Kral;cz CZE;MFDF;Spartak Moscow;21;1998;9.2;3;0;0;7;4;0;7;15;13;;;0;Matches
180;Matías Kranevitter\Matias-Kranevitter;ar ARG;MF;Zenit;26;1993;0.3;0;0;0;0;1;0;0;0;1;;;0;Matches
181;Stanislav Kritsyuk\Stanislav-Kritsyuk;ru RUS;GK;Krasnodar;28;1990;1.0;0;0;0;0;0;0;0;0;0;;;0;Matches
182;Vyacheslav Krotov\Vyacheslav-Krotov;ru RUS;FW;Ufa;26;1993;9.4;2;0;0;13;25;4;8;4;2;;;0;Matches
