"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
58;Karim Bellarabi\Karim-Bellarabi;de GER;FWMF;de Leverkusen;29;1990;5;5;413;0;1;0;0;2;0;0.00;0.22;0.22;0.00;0.22;0.3;0.3;1.2;0.07;0.26;0.32;0.07;0.32;Matches
59;Lars Bender\Lars-Bender;de GER;DF;de Leverkusen;30;1989;4;3;270;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.3;0.00;0.10;0.10;0.00;0.10;Matches
60;Sven Bender\Sven-Bender;de GER;DF;de Leverkusen;30;1989;6;6;540;1;0;0;0;0;0;0.17;0.00;0.17;0.17;0.17;0.2;0.2;0.0;0.04;0.00;0.04;0.04;0.04;Matches
61;Rodrigo Bentancur\Rodrigo-Bentancur;uy URU;MF;it Juventus;22;1997;6;3;329;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.3;0.01;0.08;0.09;0.01;0.09;Matches
62;Karim Benzema\Karim-Benzema;fr FRA;FW;es Real Madrid;31;1987;7;6;553;4;2;0;0;0;0;0.65;0.33;0.98;0.65;0.98;4.8;4.8;3.2;0.78;0.52;1.30;0.78;1.30;Matches
63;Yassine Benzia\Yassine-Benzia;dz ALG;MF;gr Olympiacos;24;1994;3;1;77;0;0;0;0;2;1;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.07;0.03;0.10;0.07;0.10;Matches
64;Sander Berge\Sander-Berge;no NOR;MF;be Genk;21;1998;6;6;540;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.2;0.03;0.04;0.07;0.03;0.07;Matches
65;Steven Bergwijn\Steven-Bergwijn;nl NED;MFFW;eng Tottenham;21;1997;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.25;0.03;0.28;0.25;0.28;Matches
66;Federico Bernardeschi\Federico-Bernardeschi;it ITA;MF;it Juventus;25;1994;5;2;192;1;0;0;0;0;0;0.47;0.00;0.47;0.47;0.47;0.4;0.4;0.2;0.19;0.07;0.27;0.19;0.27;Matches
67;Juan Bernat\Juan-Bernat;es ESP;DF;fr Paris S-G;26;1993;6;6;525;0;2;0;0;1;0;0.00;0.34;0.34;0.00;0.34;0.0;0.0;1.5;0.01;0.25;0.26;0.01;0.26;Matches
68;Antoine Bernede\Antoine-Bernede;fr FRA;MF;at RB Salzburg;20;1999;1;1;90;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.07;0.07;0.00;0.07;Matches
69;Cristiano Biraghi\Cristiano-Biraghi;it ITA;DF;it Inter;26;1992;4;3;221;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.05;0.01;0.06;0.05;0.06;Matches
70;Daley Blind\Daley-Blind;nl NED;DF;nl Ajax;29;1990;5;5;427;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.02;0.01;0.03;0.02;0.03;Matches
71;Richmond Boakye\Richmond-Boakye;gh GHA;FW;rs Red Star;26;1993;5;1;186;1;0;0;0;1;0;0.48;0.00;0.48;0.48;0.48;0.4;0.4;0.1;0.17;0.06;0.23;0.17;0.23;Matches
72;Jérôme Boateng\Jerome-Boateng;de GER;DF;de Bayern Munich;30;1988;5;4;373;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
73;Serhiy Bolbat\Serhiy-Bolbat;ua UKR;DF;ua Shakhtar;26;1993;3;3;246;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.01;0.00;0.01;0.01;0.01;Matches
74;Theo Bongonda\Theo-Bongonda;be BEL;MFFW;be Genk;23;1995;6;2;257;0;1;0;0;1;0;0.00;0.35;0.35;0.00;0.35;0.7;0.7;0.3;0.26;0.09;0.35;0.26;0.35;Matches
75;Leonardo Bonucci\Leonardo-Bonucci;it ITA;DF;it Juventus;32;1987;6;6;540;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.1;0.03;0.01;0.04;0.03;0.04;Matches
76;Neto Borges\Neto-Borges;br BRA;DF;be Genk;22;1996;1;0;8;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
