id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
80;Hakan Çalhanoğlu\Hakan-Calhanoglu;tr TUR;MFFW;Milan;25;1994;21.1;6;0;0;24;19;0;101;22;25;0;0;0;140;17;38;30.9;Matches
81;José Callejón\Jose-Callejon;es ESP;MFFW;Napoli;32;1987;18.4;2;0;0;8;35;10;145;7;6;0;1;0;116;8;14;36.4;Matches
82;Emre Can\Emre-Can;de GER;MF;Juventus;25;1994;3.1;2;0;0;10;5;0;3;3;4;0;0;0;23;2;0;100.0;Matches
83;Antonio Candreva\Antonio-Candreva;it ITA;DFMF;Inter;32;1987;14.9;5;0;0;13;13;7;129;10;8;0;0;0;98;1;6;14.3;Matches
84;Gianluca Caprari\Gianluca-Caprari;it ITA;FWMF;Sampdoria;26;1993;7.3;4;1;1;10;13;2;25;7;8;0;0;0;37;1;20;4.8;Matches
85;Gianluca Caprari\Gianluca-Caprari;it ITA;FWMF;Parma;26;1993;1.3;1;0;0;3;4;0;2;0;2;0;0;0;12;1;0;100.0;Matches
86;Francesco Caputo\Francesco-Caputo;it ITA;FW;Sassuolo;31;1987;21.4;2;0;0;18;37;18;7;1;5;0;0;0;56;7;28;20.0;Matches
87;Francesco Cassata\Francesco-Cassata;it ITA;MF;Genoa;22;1997;11.9;9;1;1;34;20;1;18;5;11;0;0;0;100;7;19;26.9;Matches
88;Timothy Castagne\Timothy-Castagne;be BEL;DF;Atalanta;23;1995;11.1;3;0;0;7;5;4;33;8;18;1;0;0;93;19;16;54.3;Matches
89;Samu Castillejo\Samu-Castillejo;es ESP;FWMF;Milan;24;1995;10.7;2;1;0;10;19;6;59;21;17;0;0;0;78;16;28;36.4;Matches
90;Lucas Castro\Lucas-Castro;ar ARG;MF;SPAL;30;1989;3.1;0;0;0;4;3;0;3;1;1;0;0;0;18;3;1;75.0;Matches
91;Lucas Castro\Lucas-Castro;ar ARG;MF;Cagliari;30;1989;6.7;2;0;0;15;6;1;21;11;8;0;0;0;60;5;6;45.5;Matches
92;Gaetano Castrovilli\Gaetano-Castrovilli;it ITA;MF;Fiorentina;22;1997;22.5;8;0;0;46;64;0;27;14;34;1;1;0;178;16;30;34.8;Matches
93;Danilo Cataldi\Danilo-Cataldi;it ITA;MFFW;Lazio;24;1994;3.9;3;0;0;4;2;0;20;2;13;0;0;0;52;3;1;75.0;Matches
94;Federico Ceccherini\Federico-Ceccherini;it ITA;DF;Fiorentina;27;1992;4.1;1;0;0;4;9;0;1;3;3;0;1;0;44;17;8;68.0;Matches
95;Luca Ceppitelli\Luca-Ceppitelli;it ITA;DF;Cagliari;29;1989;7.9;4;0;0;4;3;0;2;9;7;0;0;1;54;22;20;52.4;Matches
96;Alberto Cerri\Alberto-Cerri;it ITA;FW;Cagliari;23;1996;2.6;1;0;0;4;4;2;0;2;3;0;1;0;11;22;16;57.9;Matches
97;Julian Chabot\Julian-Chabot;de GER;DF;Sampdoria;21;1998;5.1;1;1;0;10;3;0;0;10;5;0;0;0;41;16;10;61.5;Matches
98;Jhon Chancellor\Jhon-Chancellor;ve VEN;DF;Brescia;27;1992;22.4;3;0;0;14;7;3;0;29;15;0;0;1;176;67;38;63.8;Matches
99;Giorgio Chiellini\Giorgio-Chiellini;it ITA;DF;Juventus;34;1984;1.7;0;0;0;4;2;0;0;1;2;0;0;0;18;4;2;66.7;Matches
100;Federico Chiesa\Federico-Chiesa;it ITA;FW;Fiorentina;21;1997;21.6;4;0;0;44;35;7;37;3;23;1;0;0;118;3;24;11.1;Matches
101;Vlad Chiricheș\Vlad-Chiriches;ro ROU;DF;Sassuolo;29;1989;4.0;0;0;0;3;1;1;1;6;3;0;0;0;38;6;9;40.0;Matches
102;Luca Cigarini\Luca-Cigarini;it ITA;MF;Cagliari;33;1986;16.7;5;0;0;32;27;0;80;21;24;0;0;0;184;10;10;50.0;Matches
103;Thiago Cionek\Thiago-Cionek;pl POL;DF;SPAL;33;1986;17.7;9;0;0;42;41;0;45;33;24;1;1;0;169;37;16;69.8;Matches
104;Andrea Cistana\Andrea-Cistana;it ITA;DF;Brescia;22;1997;20.4;7;1;0;24;14;1;4;34;21;0;1;0;171;47;47;50.0;Matches
105;Denilho Cleonise\Denilho-Cleonise;nl NED;FW;Genoa;17;2001;0.5;2;0;0;2;1;0;0;1;0;0;0;0;1;0;1;0.0;Matches
106;Ebrima Colley\Ebrima-Colley;gm GAM;FW;Atalanta;19;2000;0.1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0.0;Matches
107;Omar Colley\Omar-Colley;gm GAM;DF;Sampdoria;26;1992;21.0;9;0;0;32;8;1;4;31;26;0;1;0;235;59;24;71.1;Matches
108;Simone Colombi\Simone-Colombi;it ITA;GK;Parma;28;1991;4.0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;;Matches
109;Andrea Consigli\Andrea-Consigli;it ITA;GK;Sassuolo;32;1987;20.0;1;0;0;0;1;0;0;2;0;0;0;0;81;0;1;0.0;Matches
110;Andrea Conti\Andrea-Conti;it ITA;DF;Milan;25;1994;13.9;5;0;0;23;16;0;21;32;21;0;0;0;117;13;13;50.0;Matches
111;Andreas Cornelius\Andreas-Cornelius;dk DEN;FW;Parma;26;1993;11.2;1;0;0;28;18;0;3;2;3;0;0;0;55;68;42;61.8;Matches
112;Joaquín Correa\Joaquin-Correa;ar ARG;FWMF;Lazio;24;1994;17.4;0;0;0;13;37;5;9;6;10;3;0;0;75;12;33;26.7;Matches
113;Angelo da Costa Júnior\Angelo-da-Costa-Junior;br BRA;GK;Bologna;35;1983;1.0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;;Matches
114;Douglas Costa\Douglas-Costa;br BRA;FWMF;Juventus;28;1990;5.7;1;0;0;7;7;1;26;5;2;0;0;0;32;1;3;25.0;Matches
